"","exp_no","employee_no","date","amount"
"74","E00074","Emp1414",2021-01-01,965.334145294037
"75","E00075","Emp0817",2021-01-01,169.438382329186
"76","E00076","Emp0012",2021-01-01,316.235374982702
"77","E00077","Emp0813",2021-01-01,706.808554748306
"78","E00078","Emp1578",2021-01-01,121.98617297411
"79","E00079","Emp1181",2021-01-01,142.771095867269
"80","E00080","Emp0087",2021-01-01,222.214804934803
"81","E00081","Emp0995",2021-01-01,494.270400692709
"82","E00082","Emp0522",2021-01-01,343.351931330981
"83","E00083","Emp0855",2021-01-01,543.554250139277
"84","E00084","Emp0131",2021-01-01,89.5976699646562
"85","E00085","Emp1172",2021-01-01,184.090260058409
"86","E00086","Emp1347",2021-01-01,103.569836641429
"87","E00087","Emp1209",2021-01-01,193.876404366456
"88","E00088","Emp0583",2021-01-01,924.101638209308
"89","E00089","Emp0276",2021-01-01,942.06986997067
"90","E00090","Emp0547",2021-01-01,629.921842749929
"91","E00091","Emp0803",2021-01-01,774.738703007344
"92","E00092","Emp0071",2021-01-01,478.180601887871
"93","E00093","Emp1501",2021-01-01,513.038152546622
"94","E00094","Emp0828",2021-01-01,180.818482234143
"95","E00095","Emp1291",2021-01-01,115.660698243883
"96","E00096","Emp1373",2021-01-02,957.183728824137
"97","E00097","Emp1491",2021-01-02,264.728559162468
"98","E00098","Emp0810",2021-01-02,871.707715031458
"99","E00099","Emp0903",2021-01-02,864.323186638532
"100","E00100","Emp0302",2021-01-02,620.555980360601
"101","E00101","Emp1192",2021-01-02,766.736793263117
"102","E00102","Emp1169",2021-01-02,63.1629408437293
"103","E00103","Emp1088",2021-01-02,109.311002405593
"104","E00104","Emp1021",2021-01-02,469.724641209235
"105","E00105","Emp0094",2021-01-02,206.302035395056
"106","E00106","Emp1275",2021-01-02,500.939263761044
"107","E00107","Emp1423",2021-01-02,282.931503050961
"108","E00108","Emp0681",2021-01-02,65.5247113578953
"109","E00109","Emp1317",2021-01-02,649.765212719794
"110","E00110","Emp1465",2021-01-02,634.605970544042
"111","E00111","Emp0154",2021-01-02,86.2249230579473
"112","E00112","Emp1061",2021-01-02,580.937015004223
"113","E00113","Emp1330",2021-01-02,894.426956925076
"114","E00114","Emp0936",2021-01-02,105.244570667623
"115","E00115","Emp1563",2021-01-02,452.345993964933
"116","E00116","Emp1536",2021-01-02,775.662949490361
"117","E00117","Emp1105",2021-01-02,840.982047507074
"118","E00118","Emp0623",2021-01-02,224.965001236415
"119","E00119","Emp1442",2021-01-02,395.550636559958
"120","E00120","Emp1094",2021-01-02,590.362758537522
"121","E00121","Emp0789",2021-01-02,925.595387412002
"122","E00122","Emp0464",2021-01-02,185.022888436215
"123","E00123","Emp0125",2021-01-02,835.633643618785
"124","E00124","Emp1423",2021-01-02,178.192396869184
"125","E00125","Emp0995",2021-01-02,846.705591428326
"126","E00126","Emp0417",2021-01-02,685.258085696958
"127","E00127","Emp0701",2021-01-02,934.503811544972
"128","E00128","Emp1630",2021-01-02,198.360393604962
"129","E00129","Emp0303",2021-01-02,304.759738782421
"130","E00130","Emp1371",2021-01-02,813.292054279707
"131","E00131","Emp0048",2021-01-02,248.840193087468
"132","E00132","Emp0783",2021-01-02,177.379101171158
"133","E00133","Emp0669",2021-01-02,885.192596035311
"134","E00134","Emp0093",2021-01-02,148.693265527952
"135","E00135","Emp0940",2021-01-02,473.836632346036
"136","E00136","Emp0065",2021-01-02,194.732981167734
"137","E00137","Emp1629",2021-01-02,648.567985256668
"138","E00138","Emp0273",2021-01-02,406.931985980365
"139","E00139","Emp1373",2021-01-02,618.524786464404
"140","E00140","Emp0552",2021-01-02,295.066338665551
"141","E00141","Emp0031",2021-01-02,612.202405052492
"142","E00142","Emp0109",2021-01-02,974.207102214685
"143","E00143","Emp0498",2021-01-02,855.299075331306
"144","E00144","Emp0031",2021-01-02,661.282907721819
"145","E00145","Emp0605",2021-01-02,147.245986344526
"146","E00146","Emp1238",2021-01-02,577.292594084516
"147","E00147","Emp1193",2021-01-02,401.031991962576
"148","E00148","Emp1284",2021-01-02,697.506611168385
"149","E00149","Emp0583",2021-01-02,803.611124429386
"150","E00150","Emp0981",2021-01-02,197.020258045522
"151","E00151","Emp0133",2021-01-02,424.276991207385
"152","E00152","Emp1601",2021-01-02,901.865878083976
"153","E00153","Emp0311",2021-01-02,744.329437125009
"154","E00154","Emp1604",2021-01-02,995.357777260477
"155","E00155","Emp1146",2021-01-02,552.439137932146
"156","E00156","Emp1399",2021-01-02,383.312394935638
"157","E00157","Emp1334",2021-01-02,794.18733867188
"158","E00158","Emp0662",2021-01-02,77.3362750888336
"159","E00159","Emp0285",2021-01-02,644.404171094531
"160","E00160","Emp1639",2021-01-02,190.173469512723
"161","E00161","Emp0727",2021-01-02,246.600656910799
"162","E00162","Emp0768",2021-01-02,61.3895762735046
"163","E00163","Emp0731",2021-01-02,688.47826146381
"164","E00164","Emp1286",2021-01-02,391.369025641354
"165","E00165","Emp1630",2021-01-02,534.179139428306
"166","E00166","Emp0179",2021-01-02,318.479287952418
"167","E00167","Emp1445",2021-01-02,183.655210504541
"168","E00168","Emp0972",2021-01-02,71.0935081867501
"169","E00169","Emp0009",2021-01-02,956.720097883604
"170","E00170","Emp1064",2021-01-02,767.871713121887
"171","E00171","Emp0135",2021-01-02,114.973993905587
"172","E00172","Emp0017",2021-01-02,170.92596513126
"173","E00173","Emp0119",2021-01-02,605.665559153073
"174","E00174","Emp1423",2021-01-02,492.579228513874
"175","E00175","Emp0450",2021-01-02,912.804575490998
"176","E00176","Emp1416",2021-01-02,914.026268987684
"177","E00177","Emp0599",2021-01-02,10.0691843440291
"178","E00178","Emp0346",2021-01-02,395.92550770985
"179","E00179","Emp1153",2021-01-02,821.296283721924
"180","E00180","Emp1560",2021-01-02,388.072774340399
"181","E00181","Emp0801",2021-01-02,711.639706224436
"182","E00182","Emp0318",2021-01-02,130.037347865524
"183","E00183","Emp0586",2021-01-02,62.424637936987
"184","E00184","Emp1072",2021-01-02,508.664055540459
"185","E00185","Emp0139",2021-01-02,629.761174182408
"186","E00186","Emp1426",2021-01-02,476.496452767402
"187","E00187","Emp1026",2021-01-02,395.531283724122
"188","E00188","Emp0460",2021-01-02,280.235846284544
"189","E00189","Emp1240",2021-01-02,434.219688497251
"190","E00190","Emp0142",2021-01-02,245.495984071633
"191","E00191","Emp1619",2021-01-02,259.241739572026
"192","E00192","Emp1226",2021-01-02,620.583418296417
"193","E00193","Emp0111",2021-01-02,181.020005677128
"194","E00194","Emp0374",2021-01-02,777.458014971344
"195","E00195","Emp1256",2021-01-02,793.150541828712
"196","E00196","Emp0764",2021-01-02,682.247414036654
"197","E00197","Emp0085",2021-01-03,53.9534039555583
"198","E00198","Emp0322",2021-01-03,665.269813802326
"199","E00199","Emp0622",2021-01-03,528.944940833608
"200","E00200","Emp1232",2021-01-03,429.2587539542
"201","E00201","Emp1589",2021-01-03,882.304248960456
"202","E00202","Emp0991",2021-01-03,580.443555952748
"203","E00203","Emp1429",2021-01-03,486.546017820248
"204","E00204","Emp0943",2021-01-03,426.247497310396
"205","E00205","Emp1293",2021-01-03,403.488905449165
"206","E00206","Emp0160",2021-01-03,150.364584320458
"207","E00207","Emp0033",2021-01-03,417.891474375501
"208","E00208","Emp0868",2021-01-03,27.4277107145172
"209","E00209","Emp0722",2021-01-03,535.914254218573
"210","E00210","Emp0673",2021-01-03,142.760114459321
"211","E00211","Emp0673",2021-01-03,914.623183127027
"212","E00212","Emp1010",2021-01-03,440.588449447881
"213","E00213","Emp0058",2021-01-03,109.28585718642
"214","E00214","Emp1212",2021-01-03,628.278701321688
"215","E00215","Emp0499",2021-01-03,165.538553891936
"216","E00216","Emp1142",2021-01-03,70.2081643857528
"217","E00217","Emp0436",2021-01-03,881.448487414513
"218","E00218","Emp0382",2021-01-03,437.615083453013
"219","E00219","Emp0683",2021-01-03,128.409257143969
"220","E00220","Emp1597",2021-01-03,787.992994680302
"221","E00221","Emp1481",2021-01-03,3.08837434696034
"222","E00222","Emp1257",2021-01-03,564.732914377702
"223","E00223","Emp0671",2021-01-03,137.55108829774
"224","E00224","Emp1183",2021-01-03,743.459838102572
"225","E00225","Emp1200",2021-01-03,675.800433232682
"226","E00226","Emp1189",2021-01-03,773.098332516849
"227","E00227","Emp0282",2021-01-03,928.352109943051
"228","E00228","Emp1110",2021-01-03,133.129745791201
"229","E00229","Emp0373",2021-01-03,379.293566200882
"230","E00230","Emp0700",2021-01-03,139.699886671966
"231","E00231","Emp0707",2021-01-03,274.084055365063
"232","E00232","Emp1528",2021-01-03,488.197610922623
"233","E00233","Emp1081",2021-01-03,897.147497005528
"234","E00234","Emp0031",2021-01-03,116.572438872885
"235","E00235","Emp0761",2021-01-03,602.222357671009
"236","E00236","Emp1003",2021-01-03,284.757439378882
"237","E00237","Emp0373",2021-01-03,69.5805247731041
"238","E00238","Emp1437",2021-01-03,131.781747960486
"239","E00239","Emp1562",2021-01-03,98.7348568378948
"240","E00240","Emp1301",2021-01-03,611.147986599011
"241","E00241","Emp1541",2021-01-03,74.4816702809185
"242","E00242","Emp0626",2021-01-03,312.076803807868
"243","E00243","Emp0742",2021-01-03,43.1465390347876
"244","E00244","Emp0234",2021-01-03,376.27068478358
"245","E00245","Emp1331",2021-01-03,447.73079606751
"246","E00246","Emp0203",2021-01-03,923.867516182829
"247","E00247","Emp0217",2021-01-03,14.4031845110003
"248","E00248","Emp0865",2021-01-03,419.749331962084
"249","E00249","Emp1303",2021-01-03,29.056873944588
"250","E00250","Emp1552",2021-01-03,108.651952086482
"251","E00251","Emp0158",2021-01-03,758.219756585546
"252","E00252","Emp1067",2021-01-03,66.7435232002754
"253","E00253","Emp0403",2021-01-03,223.693612751784
"254","E00254","Emp1040",2021-01-03,220.215610915329
"255","E00255","Emp0137",2021-01-03,448.194126491668
"256","E00256","Emp0562",2021-01-03,431.225668746978
"257","E00257","Emp0338",2021-01-03,474.305429749191
"258","E00258","Emp1088",2021-01-03,47.1612963774242
"259","E00259","Emp0198",2021-01-03,594.176432977431
"260","E00260","Emp0750",2021-01-03,3.44626050675288
"261","E00261","Emp1258",2021-01-03,326.774716831045
"262","E00262","Emp0262",2021-01-03,568.765171914594
"263","E00263","Emp0136",2021-01-03,473.702434107428
"264","E00264","Emp0479",2021-01-03,740.105470377253
"265","E00265","Emp0520",2021-01-03,706.579772004625
"266","E00266","Emp0978",2021-01-03,566.631637771847
"267","E00267","Emp0977",2021-01-03,627.253732775105
"268","E00268","Emp0180",2021-01-03,799.265230373247
"269","E00269","Emp0021",2021-01-03,180.6296956148
"270","E00270","Emp0309",2021-01-03,381.567986467155
"271","E00271","Emp0266",2021-01-03,611.788162535988
"272","E00272","Emp0088",2021-01-03,973.844414538238
"273","E00273","Emp0709",2021-01-03,430.066067934269
"274","E00274","Emp0378",2021-01-03,886.22469603084
"275","E00275","Emp0925",2021-01-03,326.081167371711
"276","E00276","Emp0648",2021-01-03,300.590713266283
"277","E00277","Emp1146",2021-01-03,567.606389846187
"278","E00278","Emp1606",2021-01-03,872.043035016628
"279","E00279","Emp1302",2021-01-03,446.237362267449
"280","E00280","Emp0434",2021-01-03,517.415743869729
"281","E00281","Emp1397",2021-01-03,352.881567236036
"282","E00282","Emp0577",2021-01-03,781.319798779907
"283","E00283","Emp0111",2021-01-03,594.934902579756
"284","E00284","Emp0027",2021-01-03,732.872020078823
"285","E00285","Emp0243",2021-01-03,389.510251619387
"286","E00286","Emp1070",2021-01-03,674.447146360297
"287","E00287","Emp0795",2021-01-03,967.335040766513
"288","E00288","Emp1230",2021-01-04,596.782186967554
"289","E00289","Emp0850",2021-01-04,545.795943428064
"290","E00290","Emp0568",2021-01-04,191.267031852156
"291","E00291","Emp0767",2021-01-04,284.011129757622
"292","E00292","Emp1548",2021-01-04,515.569492681418
"293","E00293","Emp0357",2021-01-04,98.8638618651312
"294","E00294","Emp0419",2021-01-04,583.439403689234
"295","E00295","Emp1258",2021-01-04,933.85825771396
"296","E00296","Emp0973",2021-01-04,229.736448110314
"297","E00297","Emp1007",2021-01-04,131.020736761857
"298","E00298","Emp1564",2021-01-04,409.90531196841
"299","E00299","Emp0917",2021-01-04,693.826318083564
"300","E00300","Emp1148",2021-01-04,694.337287098402
"301","E00301","Emp0337",2021-01-04,844.080452736467
"302","E00302","Emp0460",2021-01-04,446.082230225671
"303","E00303","Emp0954",2021-01-04,844.611654504668
"304","E00304","Emp0578",2021-01-04,909.690736931516
"305","E00305","Emp1387",2021-01-04,687.233622192871
"306","E00306","Emp0869",2021-01-04,503.707049341872
"307","E00307","Emp1649",2021-01-04,338.685908020241
"308","E00308","Emp1256",2021-01-04,53.3184077392798
"309","E00309","Emp1186",2021-01-04,792.906733266311
"310","E00310","Emp0935",2021-01-04,155.511638748925
"311","E00311","Emp1097",2021-01-04,273.04742506193
"312","E00312","Emp0874",2021-01-04,152.484173526522
"313","E00313","Emp1054",2021-01-04,273.612516331486
"314","E00314","Emp0034",2021-01-04,69.0539642616641
"315","E00315","Emp1472",2021-01-04,510.70046358183
"316","E00316","Emp0273",2021-01-04,387.746221897192
"317","E00317","Emp0315",2021-01-04,936.167170142522
"318","E00318","Emp0379",2021-01-04,947.070579437539
"319","E00319","Emp0805",2021-01-04,389.795717519708
"320","E00320","Emp1518",2021-01-04,399.291604877682
"321","E00321","Emp0493",2021-01-04,324.83781622746
"322","E00322","Emp0262",2021-01-04,235.481663169805
"323","E00323","Emp1130",2021-01-04,108.217557295458
"324","E00324","Emp0560",2021-01-04,334.377016321989
"325","E00325","Emp1225",2021-01-04,830.695083822357
"326","E00326","Emp0808",2021-01-04,131.424756837077
"327","E00327","Emp0591",2021-01-04,411.620833416702
"328","E00328","Emp0762",2021-01-04,278.174853584729
"329","E00329","Emp0380",2021-01-04,946.939771312056
"330","E00330","Emp0407",2021-01-04,124.090686120326
"331","E00331","Emp0331",2021-01-04,911.358095746255
"332","E00332","Emp0219",2021-01-04,800.760738945799
"333","E00333","Emp1307",2021-01-04,202.686204235535
"334","E00334","Emp1497",2021-01-04,882.551422050223
"335","E00335","Emp0749",2021-01-04,259.248611209216
"336","E00336","Emp0394",2021-01-04,623.119433414657
"337","E00337","Emp1291",2021-01-04,713.773565538926
"338","E00338","Emp1624",2021-01-04,641.897642401047
"339","E00339","Emp1083",2021-01-04,618.292381009785
"340","E00340","Emp0155",2021-01-04,108.20446157339
"341","E00341","Emp1148",2021-01-04,646.795290335547
"342","E00342","Emp0578",2021-01-04,274.784543682355
"343","E00343","Emp1330",2021-01-04,470.893146331422
"344","E00344","Emp1274",2021-01-04,268.946574662579
"345","E00345","Emp0342",2021-01-04,353.17471165536
"346","E00346","Emp1244",2021-01-04,170.769690801622
"347","E00347","Emp1288",2021-01-04,442.606502265437
"348","E00348","Emp0333",2021-01-04,614.608435906703
"349","E00349","Emp0354",2021-01-04,107.267659925623
"350","E00350","Emp1120",2021-01-04,984.190854646731
"351","E00351","Emp1512",2021-01-04,89.4299241434783
"352","E00352","Emp0880",2021-01-04,162.591542624868
"353","E00353","Emp0506",2021-01-04,63.2159317426849
"354","E00354","Emp0371",2021-01-04,816.242523345863
"355","E00355","Emp0428",2021-01-04,371.897877997486
"356","E00356","Emp0802",2021-01-04,846.059246764751
"357","E00357","Emp1266",2021-01-04,41.2971547539346
"358","E00358","Emp0931",2021-01-04,339.424758927431
"359","E00359","Emp1102",2021-01-04,987.092931272695
"360","E00360","Emp0981",2021-01-04,556.254277738277
"361","E00361","Emp0385",2021-01-04,819.547235624865
"362","E00362","Emp1544",2021-01-04,435.186175440904
"363","E00363","Emp1055",2021-01-04,440.650986858876
"364","E00364","Emp0374",2021-01-04,210.205877772765
"365","E00365","Emp1171",2021-01-04,680.993656698847
"366","E00366","Emp0553",2021-01-04,505.133117465535
"367","E00367","Emp1611",2021-01-04,209.715228037676
"368","E00368","Emp1120",2021-01-04,90.3644488912541
"369","E00369","Emp1331",2021-01-04,970.86061932263
"370","E00370","Emp0247",2021-01-04,581.49985147058
"371","E00371","Emp1643",2021-01-04,816.357512494083
"372","E00372","Emp0534",2021-01-04,237.724902536254
"373","E00373","Emp0054",2021-01-04,152.863367971964
"374","E00374","Emp1073",2021-01-04,187.735682311701
"375","E00375","Emp0936",2021-01-05,126.226421568776
"376","E00376","Emp0970",2021-01-05,326.000591302523
"377","E00377","Emp0740",2021-01-05,943.71614053729
"378","E00378","Emp0046",2021-01-05,281.899725901196
"379","E00379","Emp0679",2021-01-05,214.411046430469
"380","E00380","Emp1425",2021-01-05,553.866920534289
"381","E00381","Emp0740",2021-01-05,281.413336892845
"382","E00382","Emp0390",2021-01-05,927.530353732174
"383","E00383","Emp1417",2021-01-05,436.683319641277
"384","E00384","Emp0171",2021-01-05,401.017407614505
"385","E00385","Emp0563",2021-01-05,70.1785330525599
"386","E00386","Emp0866",2021-01-05,508.069470635615
"387","E00387","Emp1047",2021-01-05,12.145742024295
"388","E00388","Emp1043",2021-01-05,15.362607459072
"389","E00389","Emp0467",2021-01-05,937.351252107648
"390","E00390","Emp0490",2021-01-05,274.871960918419
"391","E00391","Emp1160",2021-01-05,475.284413242945
"392","E00392","Emp1413",2021-01-05,445.139223333448
"393","E00393","Emp1540",2021-01-05,209.56325769797
"394","E00394","Emp0568",2021-01-05,292.106931563234
"395","E00395","Emp0394",2021-01-05,919.235783372074
"396","E00396","Emp0997",2021-01-05,469.050048704259
"397","E00397","Emp0455",2021-01-05,250.464112632442
"398","E00398","Emp0806",2021-01-05,297.580641243141
"399","E00399","Emp0356",2021-01-05,631.213895224268
"400","E00400","Emp0778",2021-01-05,661.70416794694
"401","E00401","Emp1289",2021-01-05,519.816528247669
"402","E00402","Emp0914",2021-01-05,534.545954785543
"403","E00403","Emp1056",2021-01-05,946.825834436342
"404","E00404","Emp1645",2021-01-05,857.409149426036
"405","E00405","Emp0159",2021-01-05,633.583105612081
"406","E00406","Emp0268",2021-01-05,162.578521334101
"407","E00407","Emp0682",2021-01-05,932.424275217112
"408","E00408","Emp1280",2021-01-05,242.680960433558
"409","E00409","Emp0758",2021-01-05,453.506852434017
"410","E00410","Emp0457",2021-01-05,416.725858815946
"411","E00411","Emp0760",2021-01-05,812.682312138379
"412","E00412","Emp1010",2021-01-05,633.520727065392
"413","E00413","Emp1613",2021-01-05,384.559746529674
"414","E00414","Emp1529",2021-01-05,739.114612765145
"415","E00415","Emp0331",2021-01-05,927.547651333734
"416","E00416","Emp0346",2021-01-05,35.6328779184259
"417","E00417","Emp0464",2021-01-05,450.076775516151
"418","E00418","Emp0509",2021-01-05,242.204257030739
"419","E00419","Emp0177",2021-01-05,657.631492818473
"420","E00420","Emp0177",2021-01-05,583.469862140249
"421","E00421","Emp0105",2021-01-05,785.988400437403
"422","E00422","Emp0052",2021-01-05,575.079992967192
"423","E00423","Emp0921",2021-01-05,703.287377873203
"424","E00424","Emp0677",2021-01-05,464.748040273087
"425","E00425","Emp1567",2021-01-05,189.803968813736
"426","E00426","Emp0860",2021-01-05,114.467331206659
"427","E00427","Emp1361",2021-01-05,176.204243104905
"428","E00428","Emp1303",2021-01-05,913.479236844927
"429","E00429","Emp0508",2021-01-05,604.757646153681
"430","E00430","Emp0467",2021-01-05,524.495496789692
"431","E00431","Emp1098",2021-01-05,760.984817980789
"432","E00432","Emp0432",2021-01-05,35.2104437721428
"433","E00433","Emp1160",2021-01-05,727.789200094994
"434","E00434","Emp1102",2021-01-05,11.9739273695741
"435","E00435","Emp0096",2021-01-05,200.497257152805
"436","E00436","Emp0285",2021-01-05,450.243958915817
"437","E00437","Emp0105",2021-01-05,269.01841226453
"438","E00438","Emp0450",2021-01-05,971.181669199374
"439","E00439","Emp1007",2021-01-05,121.964051526506
"440","E00440","Emp1635",2021-01-05,405.601314360742
"441","E00441","Emp0722",2021-01-05,110.569874801906
"442","E00442","Emp1661",2021-01-05,830.435678413603
"443","E00443","Emp1136",2021-01-05,74.5470077043865
"444","E00444","Emp0817",2021-01-05,190.083647913067
"445","E00445","Emp1244",2021-01-05,777.729508953635
"446","E00446","Emp1158",2021-01-05,324.266984909074
"447","E00447","Emp0875",2021-01-05,238.987925873138
"448","E00448","Emp1021",2021-01-05,493.290905716363
"449","E00449","Emp0768",2021-01-05,713.008932559751
"450","E00450","Emp0575",2021-01-05,658.764017152367
"451","E00451","Emp1650",2021-01-05,642.370131131494
"452","E00452","Emp0611",2021-01-05,262.248180278111
"453","E00453","Emp1532",2021-01-05,343.222903509159
"454","E00454","Emp0130",2021-01-05,343.271465280559
"455","E00455","Emp0443",2021-01-05,634.234355065739
"456","E00456","Emp0480",2021-01-05,379.098680866882
"457","E00457","Emp1464",2021-01-05,527.987847120035
"458","E00458","Emp0121",2021-01-05,497.704816955375
"459","E00459","Emp0608",2021-01-05,789.207313663326
"460","E00460","Emp0500",2021-01-05,810.917040111264
"461","E00461","Emp0044",2021-01-05,679.726148410933
"462","E00462","Emp1268",2021-01-05,936.358374848729
"463","E00463","Emp1361",2021-01-05,311.391469703289
"464","E00464","Emp0136",2021-01-05,498.146356686018
"465","E00465","Emp0626",2021-01-06,976.469482520362
"466","E00466","Emp1372",2021-01-06,512.652270216262
"467","E00467","Emp1420",2021-01-06,665.618763554143
"468","E00468","Emp0279",2021-01-06,227.734618292423
"469","E00469","Emp0579",2021-01-06,198.863932050066
"470","E00470","Emp0402",2021-01-06,981.224536365597
"471","E00471","Emp1537",2021-01-06,409.606640327256
"472","E00472","Emp1554",2021-01-06,477.246957057621
"473","E00473","Emp0783",2021-01-06,513.679733141791
"474","E00474","Emp1586",2021-01-06,18.8290010364726
"475","E00475","Emp1013",2021-01-06,766.169027118711
"476","E00476","Emp1287",2021-01-06,360.326167968335
"477","E00477","Emp0355",2021-01-06,960.896614910103
"478","E00478","Emp1449",2021-01-06,300.961501859361
"479","E00479","Emp0003",2021-01-06,15.4725117865019
"480","E00480","Emp1070",2021-01-06,550.453442261554
"481","E00481","Emp0964",2021-01-06,420.016234463546
"482","E00482","Emp0525",2021-01-06,71.8418609471992
"483","E00483","Emp0575",2021-01-06,153.833677428076
"484","E00484","Emp1533",2021-01-06,743.655515199527
"485","E00485","Emp1087",2021-01-06,486.129578184802
"486","E00486","Emp0402",2021-01-06,515.866750360467
"487","E00487","Emp0457",2021-01-06,614.47567512258
"488","E00488","Emp1379",2021-01-06,154.761474051513
"489","E00489","Emp1627",2021-01-06,808.991765909363
"490","E00490","Emp0982",2021-01-06,289.428836629493
"491","E00491","Emp1259",2021-01-06,170.63948347629
"492","E00492","Emp1150",2021-01-06,79.2470177423675
"493","E00493","Emp0916",2021-01-06,963.033513347618
"494","E00494","Emp0759",2021-01-06,940.45219195541
"495","E00495","Emp1579",2021-01-06,22.3826699652709
"496","E00496","Emp1619",2021-01-06,21.3393315412104
"497","E00497","Emp1498",2021-01-06,811.197656347184
"498","E00498","Emp1050",2021-01-06,879.036661850987
"499","E00499","Emp0371",2021-01-06,90.3856832107995
"500","E00500","Emp1589",2021-01-06,741.349902868737
"501","E00501","Emp0648",2021-01-06,447.284710910404
"502","E00502","Emp0207",2021-01-06,239.808824030682
"503","E00503","Emp0300",2021-01-06,993.737404134357
"504","E00504","Emp1088",2021-01-06,172.980380197521
"505","E00505","Emp0635",2021-01-06,381.058257896453
"506","E00506","Emp1550",2021-01-06,547.754117892822
"507","E00507","Emp0459",2021-01-06,156.826762832934
"508","E00508","Emp0689",2021-01-06,631.675316485576
"509","E00509","Emp1359",2021-01-06,300.128927989397
"510","E00510","Emp0142",2021-01-06,283.965482669417
"511","E00511","Emp0359",2021-01-06,903.660187389469
"512","E00512","Emp1394",2021-01-06,439.790414957562
"513","E00513","Emp0047",2021-01-06,931.707301529823
"514","E00514","Emp0812",2021-01-06,700.474515999202
"515","E00515","Emp0258",2021-01-06,983.244419960538
