"","customer_no","invoice_no","amount","shipper_no","shipper_date","confirm_exception","confirm_response","confirm_pct"
"12109","c00655","i12173",492,"s09649",2021-02-14,0,"Confirmed, Balance OK",1
"12110","c00947","i12205",180,"s09650",2021-02-14,0,"Confirmed, Balance OK",1
"12545","c00621","i12594",0,"s12210",2021-02-24,0,"Confirmed, Balance OK",1
"12687","c00658","i12820",24,"s10686",2021-02-18,0,"Confirmed, Balance OK",1
"12726","c00685","i12889",208,"s11232",2021-02-20,0,"Confirmed, Balance OK",1
"12817","c00315","i12740",156,"s13308",2021-02-28,0,"Confirmed, Balance OK",1
"13044","c00561","i12922",52,"s12233",2021-02-24,0,"Confirmed, Balance OK",1
"14501","c00006","i14285",0,"s16238",2021-03-11,0,"Confirmed, Balance OK",1
"14747","c00103","i14760",42,"s15397",2021-03-08,0,"Confirmed, Balance OK",1
"15374","c00408","i15474",96,"s12947",2021-02-26,0,"Confirmed, Balance OK",1
"15469","c00144","i15365",116,"s14182",2021-03-03,0,"Confirmed, Balance OK",1
"15567","c00591","i15358",0,"s16797",2021-03-13,0,"Confirmed, Balance OK",1
"15591","c00704","i15531",52,"s19737",2021-03-24,0,"Confirmed, Balance OK",1
"15856","c00374","i15860",144,"s19742",2021-03-24,0,"Confirmed, Balance OK",1
"16029","c00984","i16054",180,"s15185",2021-03-07,0,"Confirmed, Balance OK",1
"16269","c00682","i16292",120,"s14955",2021-03-06,0,"Confirmed, Balance OK",1
"16330","c00785","i16368",208,"s16285",2021-03-11,0,"Confirmed, Balance OK",1
"16409","c00072","i16358",144,"s19754",2021-03-24,0,"Confirmed, Balance OK",1
"16429","c00683","i16186",0,"s25123",2021-04-13,1,"Customer will not pay shipping",0.81677977791056
"16797","c00621","i16863",198,"s14793",2021-03-05,0,"Confirmed, Balance OK",1
"16921","c00198","i16758",330,"s17091",2021-03-14,0,"Confirmed, Balance OK",1
"17077","c00447","i17169",44,"s15262",2021-03-07,0,"Confirmed, Balance OK",1
"17188","c00470","i17246",270,"s17391",2021-03-15,0,"Confirmed, Balance OK",1
"17576","c00999","i17556",148,"s15567",2021-03-08,0,"Confirmed, Balance OK",1
"17695","c00493","i17760",84,"s17418",2021-03-15,0,"Confirmed, Balance OK",1
"18197","c00102","i18222",105,"s16646",2021-03-12,0,"Confirmed, Balance OK",1
"18772","c00882","i18745",64,"s18014",2021-03-17,0,"Confirmed, Balance OK",1
"18787","c00411","i18686",256,"s18256",2021-03-18,1,"Customer claims fraction of the amount charged",0.593852850946132
"18880","c00859","i18791",0,"s21906",2021-04-01,1,"No Response",0.890561578383204
"19103","c00013","i18931",108,"s19553",2021-03-23,0,"Confirmed, Balance OK",1
"19283","c00545","i19373",540,"s17775",2021-03-16,0,"Confirmed, Balance OK",1
"19367","c00419","i19363",162,"s19286",2021-03-22,1,"Customer rejects charge",0.689479078901932
"19487","c00258","i19577",34,"s17264",2021-03-14,0,"Confirmed, Balance OK",1
"19624","c00679","i19531",104,"s19301",2021-03-22,1,"Customer claims fraction of the amount charged",0.831460034481715
"19778","c00416","i19927",210,"s17834",2021-03-16,0,"Confirmed, Balance OK",1
"20101","c00590","i20197",0,"s19082",2021-03-21,0,"Confirmed, Balance OK",1
"20115","c00023","i20112",0,"s19326",2021-03-22,0,"Confirmed, Balance OK",1
"20843","c00415","i20826",156,"s19129",2021-03-21,0,"Confirmed, Balance OK",1
"20980","c00243","i20983",152,"s22991",2021-04-05,0,"Confirmed, Balance OK",1
"21234","c00092","i21142",252,"s21443",2021-03-30,0,"Confirmed, Balance OK",1
"21247","c00671","i21258",300,"s21944",2021-04-01,0,"Confirmed, Balance OK",1
"21333","c00788","i21475",360,"s18922",2021-03-20,0,"Confirmed, Balance OK",1
"21428","c00859","i21443",420,"s19898",2021-03-24,0,"Confirmed, Balance OK",1
"21503","c00391","i21417",544,"s21210",2021-03-29,0,"Confirmed, Balance OK",1
"21555","c00825","i21379",372,"s22733",2021-04-04,0,"Confirmed, Balance OK",1
"21714","c00929","i21846",136,"s20405",2021-03-26,0,"Confirmed, Balance OK",1
"21788","c00644","i21676",120,"s21963",2021-04-01,0,"Confirmed, Balance OK",1
"21855","c00985","i21843",93,"s26532",2021-04-18,0,"Confirmed, Balance OK",1
"22113","c00312","i22005",0,"s24338",2021-04-10,0,"Confirmed, Balance OK",1
"22192","c00816","i22243",360,"s19954",2021-03-24,0,"Confirmed, Balance OK",1
"22533","c00608","i22675",125,"s21266",2021-03-29,0,"Confirmed, Balance OK",1
"22676","c00349","i22534",216,"s30878",2021-05-04,0,"Confirmed, Balance OK",1
"23199","c00919","i23062",174,"s26789",2021-04-19,0,"Confirmed, Balance OK",1
"23389","c00886","i23277",0,"s23310",2021-04-06,0,"Confirmed, Balance OK",1
"23482","c00577","i23274",408,"s33089",2021-05-12,0,"Confirmed, Balance OK",1
"23633","c00211","i23609",192,"s22813",2021-04-04,1,"Customer cannot pay",0.574798917931039
"23634","c00492","i23717",0,"s22814",2021-04-04,0,"Confirmed, Balance OK",1
"23708","c00385","i23745",64,"s24627",2021-04-11,0,"Confirmed, Balance OK",1
"23878","c00702","i23778",99,"s22337",2021-04-02,0,"Confirmed, Balance OK",1
"24053","c00358","i24270",136,"s21619",2021-03-30,0,"Confirmed, Balance OK",1
"24206","c00096","i24105",128,"s23612",2021-04-07,0,"Confirmed, Balance OK",1
"24215","c00552","i24056",87,"s23846",2021-04-08,0,"Confirmed, Balance OK",1
"24345","c00734","i24486",180,"s22139",2021-04-01,0,"Confirmed, Balance OK",1
"24383","c00040","i24447",0,"s22604",2021-04-03,0,"Confirmed, Balance OK",1
"24460","c00195","i24344",396,"s23629",2021-04-07,1,"Customer rejects charge",0.790450331445318
"24572","c00123","i24438",216,"s30047",2021-05-01,0,"Confirmed, Balance OK",1
"24662","c00426","i24727",420,"s22879",2021-04-04,0,"Confirmed, Balance OK",1
"24749","c00038","i24874",468,"s24127",2021-04-09,0,"Confirmed, Balance OK",1
"25261","c01000","i25173",0,"s23904",2021-04-08,0,"Confirmed, Balance OK",1
"25276","c00527","i25180",0,"s24161",2021-04-09,1,"Unable to confirm balance",0.5436095830868
"25302","c00077","i25202",240,"s24935",2021-04-12,0,"Confirmed, Balance OK",1
"25374","c00047","i25215",224,"s27375",2021-04-21,0,"Confirmed, Balance OK",1
"25389","c00081","i25366",0,"s28444",2021-04-25,0,"Confirmed, Balance OK",1
"25402","c00184","i25389",272,"s30056",2021-05-01,0,"Confirmed, Balance OK",1
"25540","c00991","i25608",93,"s24182",2021-04-09,0,"Confirmed, Balance OK",1
"25555","c00304","i25616",0,"s24436",2021-04-10,0,"Confirmed, Balance OK",1
"25613","c00545","i25680",180,"s26036",2021-04-16,0,"Confirmed, Balance OK",1
"25731","c00375","i25723",162,"s23715",2021-04-07,0,"Confirmed, Balance OK",1
"25804","c00795","i25906",186,"s24712",2021-04-11,0,"Confirmed, Balance OK",1
"25855","c00462","i25815",24,"s26045",2021-04-16,0,"Confirmed, Balance OK",1
"25922","c00656","i25887",62,"s33384",2021-05-13,1,"Customer claims to have returned the goods",0.953783126135822
"25943","c00644","i26092",400,"s23475",2021-04-06,0,"Confirmed, Balance OK",1
"26057","c00521","i25981",0,"s24990",2021-04-12,0,"Confirmed, Balance OK",1
"26058","c00102","i26109",150,"s24991",2021-04-12,1,"Customer cannot pay",0.742534938515164
"26182","c00700","i25963",204,"s30066",2021-05-01,0,"Confirmed, Balance OK",1
"26286","c00020","i26396",456,"s24488",2021-04-10,0,"Confirmed, Balance OK",1
"26287","c00026","i26217",396,"s24489",2021-04-10,0,"Confirmed, Balance OK",1
"26309","c00452","i26331",256,"s24747",2021-04-11,0,"Confirmed, Balance OK",1
"26447","c00947","i26422",180,"s29750",2021-04-30,0,"Confirmed, Balance OK",1
"26639","c00048","i26580",78,"s26846",2021-04-19,0,"Confirmed, Balance OK",1
"26658","c00949","i26573",324,"s27946",2021-04-23,0,"Confirmed, Balance OK",1
"26674","c00028","i26499",124,"s28737",2021-04-26,0,"Confirmed, Balance OK",1
"26829","c00148","i26974",0,"s25574",2021-04-14,0,"Confirmed, Balance OK",1
"26909","c00549","i26954",232,"s27129",2021-04-20,0,"Confirmed, Balance OK",1
"26939","c00933","i26815",72,"s28219",2021-04-24,1,"Customer claims to have returned the goods",0.672350609102286
"27061","c00776","i27053",96,"s25081",2021-04-12,0,"Confirmed, Balance OK",1
"27062","c00208","i27001",252,"s25082",2021-04-12,0,"Confirmed, Balance OK",1
"27248","c00982","i27213",25,"s29481",2021-04-29,1,"Customer claims to have returned the goods",0.783168208706193
"27408","c00508","i27429",0,"s25869",2021-04-15,0,"Confirmed, Balance OK",1
"27551","c00954","i27428",124,"s33666",2021-05-14,1,"Customer claims fraction of the amount charged",0.675287961282302
"27803","c00213","i27612",54,"s35597",2021-05-21,0,"Confirmed, Balance OK",1
"28058","c00120","i28073",435,"s29500",2021-04-29,1,"No Response",0.508614808761049
"28067","c00174","i27958",352,"s29776",2021-04-30,0,"Confirmed, Balance OK",1
"28127","c00317","i28240",138,"s25686",2021-04-14,0,"Confirmed, Balance OK",1
"28217","c00859","i28260",90,"s26688",2021-04-18,0,"Confirmed, Balance OK",1
"28239","c00876","i28135",408,"s26926",2021-04-19,0,"Confirmed, Balance OK",1
"28267","c00255","i28223",112,"s27462",2021-04-21,1,"Customer claims fraction of the amount charged",0.562396250611637
"28290","c00173","i28256",312,"s27998",2021-04-23,0,"Confirmed, Balance OK",1
"28291","c00944","i28127",132,"s27999",2021-04-23,0,"Confirmed, Balance OK",1
"28315","c00747","i28311",324,"s28518",2021-04-25,0,"Confirmed, Balance OK",1
"28446","c00601","i28563",420,"s26206",2021-04-16,0,"Confirmed, Balance OK",1
"28601","c00495","i28508",248,"s29515",2021-04-29,0,"Confirmed, Balance OK",1
"28614","c00406","i28626",112,"s30360",2021-05-02,0,"Confirmed, Balance OK",1
"28662","c00898","i28778",198,"s26221",2021-04-16,0,"Confirmed, Balance OK",1
"28769","c00063","i28681",33,"s27497",2021-04-21,0,"Confirmed, Balance OK",1
"28789","c00533","i28720",232,"s27764",2021-04-22,0,"Confirmed, Balance OK",1
"28950","c00257","i29155",192,"s26515",2021-04-17,0,"Confirmed, Balance OK",1
"29076","c00642","i28962",120,"s28292",2021-04-24,0,"Confirmed, Balance OK",1
"29090","c00191","i29178",68,"s28801",2021-04-26,0,"Confirmed, Balance OK",1
"29098","c00736","i29047",76,"s29039",2021-04-27,0,"Confirmed, Balance OK",1
"29117","c00188","i29153",116,"s29530",2021-04-29,0,"Confirmed, Balance OK",1
"29217","c00987","i29383",74,"s26764",2021-04-18,0,"Confirmed, Balance OK",1
"29300","c00441","i29437",140,"s27798",2021-04-22,0,"Confirmed, Balance OK",1
"29747","c00847","i29806",345,"s27311",2021-04-20,1,"Customer cannot pay",0.714636971852742
"29748","c00778","i29920",132,"s27312",2021-04-20,0,"Confirmed, Balance OK",1
"30004","c00654","i29762",0,"s36433",2021-05-24,0,"Confirmed, Balance OK",1
"30106","c00826","i30136",240,"s28604",2021-04-25,0,"Confirmed, Balance OK",1
"30347","c00317","i30544",180,"s28622",2021-04-25,0,"Confirmed, Balance OK",1
"30348","c00168","i30351",288,"s28623",2021-04-25,0,"Confirmed, Balance OK",1
"30358","c00998","i30390",112,"s28868",2021-04-26,0,"Confirmed, Balance OK",1
"30490","c00258","i30376",264,"s31734",2021-05-07,0,"Confirmed, Balance OK",1
"30491","c00733","i30477",0,"s31735",2021-05-07,0,"Confirmed, Balance OK",1
"30547","c00295","i30284",72,"s39700",2021-06-05,0,"Confirmed, Balance OK",1
"30587","c00604","i30651",198,"s28390",2021-04-24,0,"Confirmed, Balance OK",1
"30721","c00441","i30610",108,"s30165",2021-05-01,0,"Confirmed, Balance OK",1
"30776","c00424","i30571",0,"s32001",2021-05-08,0,"Confirmed, Balance OK",1
"30968","c00304","i31011",243,"s29612",2021-04-29,0,"Confirmed, Balance OK",1
"31179","c00320","i31302",248,"s29176",2021-04-27,1,"Customer claims fraction of the amount charged",0.527867401381955
"31274","c00097","i31170",0,"s30719",2021-05-03,0,"Confirmed, Balance OK",1
"31351","c00606","i31313",60,"s33705",2021-05-14,0,"Confirmed, Balance OK",1
"31439","c00454","i31499",124,"s29414",2021-04-28,0,"Confirmed, Balance OK",1
"31486","c00869","i31463",243,"s29943",2021-04-30,0,"Confirmed, Balance OK",1
"31507","c00004","i31453",0,"s30217",2021-05-01,1,"No Response",0.513175021011848
"31654","c00041","i31409",651,"s35057",2021-05-19,0,"Confirmed, Balance OK",1
"31712","c00099","i31785",198,"s29435",2021-04-28,0,"Confirmed, Balance OK",1
"31927","c00653","i31701",104,"s35064",2021-05-19,0,"Confirmed, Balance OK",1
"32009","c00500","i32243",360,"s29705",2021-04-29,0,"Confirmed, Balance OK",1
"32041","c00211","i32201",144,"s29995",2021-04-30,0,"Confirmed, Balance OK",1
"32081","c00716","i32067",87,"s30501",2021-05-02,0,"Confirmed, Balance OK",1
"32126","c00525","i32184",108,"s31282",2021-05-05,0,"Confirmed, Balance OK",1
"32145","c00912","i32088",228,"s31780",2021-05-07,1,"Customer rejects charge",0.838135354511905
"32210","c00732","i32056",87,"s34002",2021-05-15,1,"Unable to confirm balance",0.572786708881613
"32226","c00452","i32134",216,"s34807",2021-05-18,0,"Confirmed, Balance OK",1
"32272","c00022","i32424",56,"s29717",2021-04-29,0,"Confirmed, Balance OK",1
"32345","c00705","i32470",190,"s30525",2021-05-02,0,"Confirmed, Balance OK",1
"32403","c00087","i32468",92,"s31792",2021-05-07,0,"Confirmed, Balance OK",1
"32416","c00589","i32307",180,"s32060",2021-05-08,0,"Confirmed, Balance OK",1
"32461","c00431","i32403",204,"s33729",2021-05-14,1,"Customer cannot pay",0.611179189614486
"32494","c00385","i32276",116,"s35343",2021-05-20,0,"Confirmed, Balance OK",1
"32514","c00719","i32306",312,"s37027",2021-05-26,0,"Confirmed, Balance OK",1
"32549","c00126","i32586",198,"s30032",2021-04-30,1,"Customer claims fraction of the amount charged",0.982834025714546
"32595","c00607","i32795",128,"s30545",2021-05-02,0,"Confirmed, Balance OK",1
"32660","c00582","i32635",324,"s31552",2021-05-06,0,"Confirmed, Balance OK",1
"32921","c00499","i33009",29,"s31323",2021-05-05,1,"Customer rejects charge",0.721656936891377
"32948","c00474","i32924",96,"s31822",2021-05-07,0,"Confirmed, Balance OK",1
"32979","c00867","i32945",104,"s32343",2021-05-09,0,"Confirmed, Balance OK",1
"33065","c00244","i33060",0,"s35349",2021-05-20,0,"Confirmed, Balance OK",1
"33466","c00372","i33417",272,"s31604",2021-05-06,0,"Confirmed, Balance OK",1
"33540","c00831","i33462",144,"s32647",2021-05-10,0,"Confirmed, Balance OK",1
"33619","c00532","i33510",270,"s35639",2021-05-21,0,"Confirmed, Balance OK",1
"33642","c00744","i33429",186,"s37798",2021-05-29,0,"Confirmed, Balance OK",1
"33712","c00190","i33749",54,"s31396",2021-05-05,1,"Unable to confirm balance",0.790084317824803
"33732","c00730","i33894",0,"s31624",2021-05-06,0,"Confirmed, Balance OK",1
"33753","c00785","i33844",44,"s31881",2021-05-07,1,"Unable to confirm balance",0.948684423058294
"33853","c00742","i33796",465,"s34049",2021-05-15,0,"Confirmed, Balance OK",1
"33886","c00423","i33694",544,"s35101",2021-05-19,0,"Confirmed, Balance OK",1
"33924","c00411","i33698",72,"s37552",2021-05-28,0,"Confirmed, Balance OK",1
"34000","c00753","i34222",630,"s31909",2021-05-07,0,"Confirmed, Balance OK",1
"34022","c00644","i34214",0,"s32144",2021-05-08,0,"Confirmed, Balance OK",1
"34049","c00242","i34192",150,"s32411",2021-05-09,0,"Confirmed, Balance OK",1
"34050","c00533","i34015",360,"s32412",2021-05-09,0,"Confirmed, Balance OK",1
"34066","c00646","i34019",150,"s32680",2021-05-10,0,"Confirmed, Balance OK",1
"34208","c00829","i34145",112,"s37293",2021-05-27,0,"Confirmed, Balance OK",1
"34331","c00096","i34270",68,"s32436",2021-05-09,0,"Confirmed, Balance OK",1
"34465","c00379","i34349",168,"s35371",2021-05-20,0,"Confirmed, Balance OK",1
"34476","c00336","i34337",44,"s35927",2021-05-22,0,"Confirmed, Balance OK",1
"34481","c00229","i34496",150,"s36206",2021-05-23,0,"Confirmed, Balance OK",1
"34536","c00233","i34467",102,"s46833",2021-07-01,0,"Confirmed, Balance OK",1
"34613","c00205","i34619",96,"s32729",2021-05-10,0,"Confirmed, Balance OK",1
"34650","c00558","i34758",330,"s33271",2021-05-12,0,"Confirmed, Balance OK",1
"34678","c00409","i34647",56,"s34076",2021-05-15,0,"Confirmed, Balance OK",1
"34691","c00302","i34679",102,"s34332",2021-05-16,0,"Confirmed, Balance OK",1
"34744","c00514","i34721",297,"s36478",2021-05-24,0,"Confirmed, Balance OK",1
"34786","c00559","i34772",124,"s39712",2021-06-05,0,"Confirmed, Balance OK",1
"34836","c00993","i35012",0,"s32477",2021-05-09,0,"Confirmed, Balance OK",1
"34837","c00769","i35019",150,"s32478",2021-05-09,0,"Confirmed, Balance OK",1
"34930","c00220","i35013",248,"s33814",2021-05-14,0,"Confirmed, Balance OK",1
"35044","c00211","i35002",288,"s40234",2021-06-07,0,"Confirmed, Balance OK",1
"35046","c00512","i35050",99,"s40498",2021-06-08,0,"Confirmed, Balance OK",1
"35239","c00589","i35198",128,"s34873",2021-05-18,0,"Confirmed, Balance OK",1
"35257","c00630","i35149",150,"s35141",2021-05-19,0,"Confirmed, Balance OK",1
"35262","c00702","i35124",270,"s35392",2021-05-20,0,"Confirmed, Balance OK",1
"35415","c00459","i35438",108,"s33335",2021-05-12,0,"Confirmed, Balance OK",1
"35416","c00359","i35401",144,"s33336",2021-05-12,0,"Confirmed, Balance OK",1
"35454","c00179","i35569",0,"s33848",2021-05-14,0,"Confirmed, Balance OK",1
"35455","c00788","i35439",414,"s33849",2021-05-14,0,"Confirmed, Balance OK",1
"35466","c00916","i35436",240,"s34113",2021-05-15,0,"Confirmed, Balance OK",1
"35561","c00819","i35454",48,"s36797",2021-05-25,0,"Confirmed, Balance OK",1
"35603","c00850","i35615",90,"s40239",2021-06-07,0,"Confirmed, Balance OK",1
"35686","c00277","i35731",144,"s33614",2021-05-13,0,"Confirmed, Balance OK",1
"35687","c00257","i35880",128,"s33615",2021-05-13,0,"Confirmed, Balance OK",1
"35737","c00386","i35675",250,"s34385",2021-05-16,0,"Confirmed, Balance OK",1
"35756","c00974","i35781",0,"s34642",2021-05-17,0,"Confirmed, Balance OK",1
"35776","c00596","i35892",132,"s35163",2021-05-19,0,"Confirmed, Balance OK",1
"35930","c00168","i36020",336,"s33639",2021-05-13,1,"Customer claims to have returned the goods",0.914875462211203
"35998","c00019","i36087",56,"s34406",2021-05-16,0,"Confirmed, Balance OK",1
"36128","c00124","i36086",0,"s37836",2021-05-29,0,"Confirmed, Balance OK",1
"36293","c00673","i36192",225,"s34681",2021-05-17,0,"Confirmed, Balance OK",1
"36294","c00010","i36248",124,"s34682",2021-05-17,0,"Confirmed, Balance OK",1
"36312","c00531","i36435",87,"s34924",2021-05-18,0,"Confirmed, Balance OK",1
"36313","c00006","i36191",84,"s34925",2021-05-18,0,"Confirmed, Balance OK",1
"36325","c00851","i36349",112,"s35190",2021-05-19,0,"Confirmed, Balance OK",1
"36357","c00399","i36406",37,"s35986",2021-05-22,0,"Confirmed, Balance OK",1
"36380","c00177","i36293",112,"s36821",2021-05-25,0,"Confirmed, Balance OK",1
"36516","c00617","i36575",100,"s34451",2021-05-16,0,"Confirmed, Balance OK",1
"36618","c00157","i36625",468,"s35995",2021-05-22,0,"Confirmed, Balance OK",1
"36720","c00315","i36466",0,"s40002",2021-06-06,0,"Confirmed, Balance OK",1
"36736","c00664","i36453",150,"s45151",2021-06-25,1,"Customer claims fraction of the amount charged",0.512944360568654
"36752","c00883","i36944",148,"s34208",2021-05-15,0,"Confirmed, Balance OK",1
"36860","c00070","i36959",0,"s35488",2021-05-20,0,"Confirmed, Balance OK",1
"36896","c00514","i36933",116,"s36011",2021-05-22,0,"Confirmed, Balance OK",1
"36897","c00077","i36885",132,"s36012",2021-05-22,0,"Confirmed, Balance OK",1
"37126","c00394","i37161",99,"s35773",2021-05-21,0,"Confirmed, Balance OK",1
"37127","c00453","i37268",78,"s35774",2021-05-21,0,"Confirmed, Balance OK",1
"37141","c00539","i37211",132,"s36026",2021-05-22,0,"Confirmed, Balance OK",1
"37241","c00193","i37061",54,"s39489",2021-06-04,0,"Confirmed, Balance OK",1
"37343","c00260","i37468",184,"s35268",2021-05-19,0,"Confirmed, Balance OK",1
"37362","c00818","i37289",285,"s35526",2021-05-20,0,"Confirmed, Balance OK",1
"37381","c00317","i37446",192,"s35793",2021-05-21,0,"Confirmed, Balance OK",1
"37434","c00210","i37349",56,"s36580",2021-05-24,0,"Confirmed, Balance OK",1
"37465","c00116","i37384",105,"s37361",2021-05-27,0,"Confirmed, Balance OK",1
"37503","c00827","i37286",369,"s39221",2021-06-03,0,"Confirmed, Balance OK",1
"37504","c00027","i37368",52,"s39222",2021-06-03,0,"Confirmed, Balance OK",1
"37586","c00991","i37750",464,"s35295",2021-05-19,0,"Confirmed, Balance OK",1
"37622","c00627","i37581",66,"s35812",2021-05-21,1,"No Response",0.521371426025871
"37640","c00957","i37706",154,"s36064",2021-05-22,0,"Confirmed, Balance OK",1
"37725","c00120","i37562",120,"s37883",2021-05-29,0,"Confirmed, Balance OK",1
"37762","c00508","i37603",108,"s38706",2021-06-01,0,"Confirmed, Balance OK",1
"37804","c00286","i37551",56,"s41830",2021-06-13,1,"Customer will not pay shipping",0.793443243317306
"37896","c00851","i37849",272,"s35828",2021-05-21,0,"Confirmed, Balance OK",1
"37954","c00110","i37959",186,"s36612",2021-05-24,0,"Confirmed, Balance OK",1
"37989","c00126","i38024",26,"s37141",2021-05-26,0,"Confirmed, Balance OK",1
"38031","c00052","i37967",102,"s38713",2021-06-01,0,"Confirmed, Balance OK",1
"38106","c00358","i38324",200,"s35591",2021-05-20,0,"Confirmed, Balance OK",1
"38222","c00790","i38275",114,"s36915",2021-05-25,0,"Confirmed, Balance OK",1
"38255","c00912","i38144",420,"s37632",2021-05-28,0,"Confirmed, Balance OK",1
"38268","c00108","i38236",261,"s37903",2021-05-29,0,"Confirmed, Balance OK",1
"38288","c00678","i38190",21,"s38448",2021-05-31,0,"Confirmed, Balance OK",1
"38354","c00209","i38135",272,"s41836",2021-06-13,1,"Customer cannot pay",0.715615128367208
"38389","c00620","i38544",120,"s35861",2021-05-21,0,"Confirmed, Balance OK",1
"38412","c00354","i38421",128,"s36126",2021-05-22,0,"Confirmed, Balance OK",1
"38547","c00603","i38598",112,"s38731",2021-06-01,0,"Confirmed, Balance OK",1
"38597","c00900","i38435",58,"s41839",2021-06-13,0,"Confirmed, Balance OK",1
"38612","c00265","i38493",135,"s44314",2021-06-22,0,"Confirmed, Balance OK",1
"38688","c00015","i38631",69,"s36681",2021-05-24,0,"Confirmed, Balance OK",1
"38708","c00721","i38695",342,"s36948",2021-05-25,0,"Confirmed, Balance OK",1
"38762","c00390","i38643",96,"s37666",2021-05-28,0,"Confirmed, Balance OK",1
"38813","c00962","i38673",156,"s38987",2021-06-02,1,"No Response",0.524257461866364
"38855","c00439","i38894",108,"s40541",2021-06-08,0,"Confirmed, Balance OK",1
"38886","c00027","i38897",248,"s42396",2021-06-15,0,"Confirmed, Balance OK",1
"38906","c00986","i38781",21,"s49071",2021-07-09,0,"Confirmed, Balance OK",1
"38927","c00234","i39136",144,"s36424",2021-05-23,0,"Confirmed, Balance OK",1
"38949","c00362","i38920",66,"s36703",2021-05-24,0,"Confirmed, Balance OK",1
"38950","c00267","i39027",152,"s36704",2021-05-24,0,"Confirmed, Balance OK",1
"38987","c00611","i39018",152,"s37209",2021-05-26,0,"Confirmed, Balance OK",1
"39004","c00444","i39007",136,"s37445",2021-05-27,0,"Confirmed, Balance OK",1
"39139","c00041","i38965",230,"s44898",2021-06-24,0,"Confirmed, Balance OK",1
"39252","c00701","i39345",132,"s37698",2021-05-28,0,"Confirmed, Balance OK",1
"39326","c00457","i39231",120,"s39006",2021-06-02,0,"Confirmed, Balance OK",1
"39402","c00509","i39278",90,"s41580",2021-06-12,0,"Confirmed, Balance OK",1
"39411","c00352","i39313",120,"s42697",2021-06-16,0,"Confirmed, Balance OK",1
"39413","c00997","i39352",850,"s43260",2021-06-18,0,"Confirmed, Balance OK",1
"39506","c00219","i39515",774,"s37720",2021-05-28,0,"Confirmed, Balance OK",1
"39507","c00108","i39620",62,"s37721",2021-05-28,0,"Confirmed, Balance OK",1
"39571","c00050","i39538",0,"s38769",2021-06-01,0,"Confirmed, Balance OK",1
"39583","c00400","i39487",192,"s39018",2021-06-02,0,"Confirmed, Balance OK",1
"39657","c00486","i39637",465,"s41586",2021-06-12,0,"Confirmed, Balance OK",1
