"","ap_no","ap_date","sku","no_units_ordered","extended_cost","receiver_no","receiver_date"
"119","ap00119",2021-03-06,"VGYGOLP",100,2900,"rec00119",2021-03-05
"120","ap00120",2021-03-16,"CMWWCGG",100,2700,"rec00120",2021-03-15
"121","ap00121",2021-03-21,"FDCZBKW",100,3200,"rec00121",2021-03-20
"122","ap00122",2021-03-06,"LQXTBPT",100,3300,"rec00122",2021-03-05
"123","ap00123",2021-03-04,"KLCEZWA",100,3300,"rec00123",2021-03-03
"124","ap00124",2021-03-20,"MTZODDC",100,3100,"rec00124",2021-03-19
"125","ap00125",2021-03-09,"ACXRMSE",100,2900,"rec00125",2021-03-08
"126","ap00126",2021-03-17,"NKZFWFQ",100,3100,"rec00126",2021-03-16
"127","ap00127",2021-03-23,"EMLLQRV",100,2800,"rec00127",2021-03-22
"128","ap00128",2021-03-07,"KCYZSOM",100,3000,"rec00128",2021-03-06
"129","ap00129",2021-03-12,"HNZJPIU",100,3200,"rec00129",2021-03-11
"130","ap00130",2021-04-03,"FMSQQSJ",100,2400,"rec00130",2021-04-02
"131","ap00131",2021-03-22,"MEMFKFK",100,2300,"rec00131",2021-03-21
"132","ap00132",2021-03-17,"MUDTEMC",100,2700,"rec00132",2021-03-16
"133","ap00133",2021-03-28,"NSFAATW",100,2500,"rec00133",2021-03-27
"134","ap00134",2021-03-26,"TNGDHJP",100,4400,"rec00134",2021-03-25
"135","ap00135",2021-03-06,"NKYFQFQ",100,1900,"rec00135",2021-03-05
"136","ap00136",2021-04-09,"HGUTUBT",100,2900,"rec00136",2021-04-08
"137","ap00137",2021-03-08,"IOWZHNT",100,3600,"rec00137",2021-03-07
"138","ap00138",2021-03-07,"PNJLBGS",100,3100,"rec00138",2021-03-06
"139","ap00139",2021-03-10,"FCSGCTT",100,2600,"rec00139",2021-03-09
"140","ap00140",2021-03-18,"YADKWWI",100,2000,"rec00140",2021-03-17
"141","ap00141",2021-03-11,"AJKORUO",100,3000,"rec00141",2021-03-10
"142","ap00142",2021-03-23,"HYDZHHX",100,1900,"rec00142",2021-03-22
"143","ap00143",2021-04-12,"YXIUTSP",100,3300,"rec00143",2021-04-11
"144","ap00144",2021-03-23,"SQSGJKE",100,4000,"rec00144",2021-03-22
"145","ap00145",2021-03-25,"NVAGCBN",100,2700,"rec00145",2021-03-24
"146","ap00146",2021-03-12,"JPLILCW",100,2400,"rec00146",2021-03-11
"147","ap00147",2021-03-11,"ZJIDQTG",100,2900,"rec00147",2021-03-10
"148","ap00148",2021-03-25,"KIVAAKN",100,2700,"rec00148",2021-03-24
"149","ap00149",2021-03-13,"ROTJPDH",100,3000,"rec00149",2021-03-12
"150","ap00150",2021-03-15,"BDVQXSF",100,4200,"rec00150",2021-03-14
"151","ap00151",2021-03-16,"IMMLUJJ",100,3100,"rec00151",2021-03-15
"152","ap00152",2021-03-13,"YTEAFJC",100,2500,"rec00152",2021-03-12
"153","ap00153",2021-03-22,"DTUWRLA",100,2900,"rec00153",2021-03-21
"154","ap00154",2021-03-20,"WVSHLRI",100,3600,"rec00154",2021-03-19
"155","ap00155",2021-04-18,"UVIRWZC",100,3000,"rec00155",2021-04-17
"156","ap00156",2021-04-16,"XWRSXHK",100,3500,"rec00156",2021-04-15
"157","ap00157",2021-03-22,"OMSXKPH",100,2500,"rec00157",2021-03-21
"158","ap00158",2021-03-25,"KVRTWFJ",100,3000,"rec00158",2021-03-24
"159","ap00159",2021-03-12,"AQWFHRW",100,3400,"rec00159",2021-03-11
"160","ap00160",2021-03-14,"NDFNKYB",100,2400,"rec00160",2021-03-13
"161","ap00161",2021-04-05,"FOWPCBN",100,3400,"rec00161",2021-04-04
"162","ap00162",2021-03-23,"BGDWUIJ",100,3500,"rec00162",2021-03-22
"163","ap00163",2021-04-08,"DKSFRAH",100,4000,"rec00163",2021-04-07
"164","ap00164",2021-03-13,"PARIMCC",100,2500,"rec00164",2021-03-12
"165","ap00165",2021-03-10,"TWSIBSU",100,4300,"rec00165",2021-03-09
"166","ap00166",2021-03-13,"ACNQHRE",100,2700,"rec00166",2021-03-12
"167","ap00167",2021-03-19,"DLIDRJO",100,3600,"rec00167",2021-03-18
"168","ap00168",2021-04-07,"PCNNLXK",100,2100,"rec00168",2021-04-06
"169","ap00169",2021-03-23,"UBQIHGU",100,3100,"rec00169",2021-03-22
"170","ap00170",2021-03-27,"JYUIKCU",100,3100,"rec00170",2021-03-26
"171","ap00171",2021-03-21,"NIBELCO",100,2500,"rec00171",2021-03-20
"172","ap00172",2021-05-11,"YRCHVMJ",100,2600,"rec00172",2021-05-10
"173","ap00173",2021-03-16,"SLOJNZH",100,2500,"rec00173",2021-03-15
"174","ap00174",2021-03-17,"PXVVWZZ",100,2300,"rec00174",2021-03-16
"175","ap00175",2021-03-26,"TOVKPDX",100,3200,"rec00175",2021-03-25
"176","ap00176",2021-04-04,"XVFHYMW",100,3400,"rec00176",2021-04-03
"177","ap00177",2021-03-16,"ZOWEBTG",100,3200,"rec00177",2021-03-15
"178","ap00178",2021-03-14,"REIICRG",100,3800,"rec00178",2021-03-13
"179","ap00179",2021-03-23,"VDXSZXM",100,2600,"rec00179",2021-03-22
"180","ap00180",2021-03-23,"YRLPJEU",100,3300,"rec00180",2021-03-22
"181","ap00181",2021-04-08,"LCRDOWM",100,2200,"rec00181",2021-04-07
"182","ap00182",2021-03-30,"FYICYTJ",100,2700,"rec00182",2021-03-29
"183","ap00183",2021-03-22,"QUJTJNL",100,4400,"rec00183",2021-03-21
"184","ap00184",2021-03-25,"WFLLQKF",100,2400,"rec00184",2021-03-24
"185","ap00185",2021-03-17,"DXXKKWE",100,2900,"rec00185",2021-03-16
"186","ap00186",2021-04-30,"MSGVMAQ",100,3100,"rec00186",2021-04-29
"187","ap00187",2021-03-16,"VPVQLMA",100,3300,"rec00187",2021-03-15
"188","ap00188",2021-03-17,"RTCJBOE",100,3100,"rec00188",2021-03-16
"189","ap00189",2021-03-25,"FMEOJSB",100,3000,"rec00189",2021-03-24
"190","ap00190",2021-04-02,"MWDUTZC",100,3200,"rec00190",2021-04-01
"191","ap00191",2021-03-16,"QHPAWDT",100,3400,"rec00191",2021-03-15
"192","ap00192",2021-03-22,"AYCAFJC",100,3000,"rec00192",2021-03-21
"193","ap00193",2021-03-23,"CWNGGXE",100,3200,"rec00193",2021-03-22
"194","ap00194",2021-03-15,"VXEFQOX",100,2800,"rec00194",2021-03-14
"195","ap00195",2021-03-17,"RAROIEH",100,4300,"rec00195",2021-03-16
"196","ap00196",2021-03-18,"AAFPBGX",100,3900,"rec00196",2021-03-17
"197","ap00197",2021-03-25,"ITEEXNA",100,3400,"rec00197",2021-03-24
"198","ap00198",2021-03-22,"UCFFTQU",100,2900,"rec00198",2021-03-21
"199","ap00199",2021-04-15,"GCKAJOG",100,2300,"rec00199",2021-04-14
"200","ap00200",2021-03-22,"PBMNYBN",100,4000,"rec00200",2021-03-21
"201","ap00201",2021-03-30,"GXBLFDO",100,1900,"rec00201",2021-03-29
"202","ap00202",2021-04-07,"AKFLLOG",100,3400,"rec00202",2021-04-06
"203","ap00203",2021-04-09,"VAAYGVB",100,2800,"rec00203",2021-04-08
"204","ap00204",2021-04-15,"YLHGYSU",100,2400,"rec00204",2021-04-14
"205","ap00205",2021-04-02,"RJONYJZ",100,2500,"rec00205",2021-04-01
"206","ap00206",2021-03-19,"PRWHNRV",100,3000,"rec00206",2021-03-18
"207","ap00207",2021-03-15,"CSEYOLP",100,3200,"rec00207",2021-03-14
"208","ap00208",2021-03-25,"BIGWTBG",100,2800,"rec00208",2021-03-24
"209","ap00209",2021-04-04,"MCPGEPL",100,2800,"rec00209",2021-04-03
"210","ap00210",2021-03-19,"EXNJUVB",100,2500,"rec00210",2021-03-18
"211","ap00211",2021-03-24,"NZHCUBQ",100,2600,"rec00211",2021-03-23
"212","ap00212",2021-03-17,"VBQSFHI",100,2500,"rec00212",2021-03-16
"213","ap00213",2021-03-20,"CDFGTPX",100,3300,"rec00213",2021-03-19
"214","ap00214",2021-03-21,"ASIJADV",100,3000,"rec00214",2021-03-20
"215","ap00215",2021-03-28,"EGHJPVM",100,2800,"rec00215",2021-03-27
"216","ap00216",2021-03-24,"UNKOVEA",100,2600,"rec00216",2021-03-23
"217","ap00217",2021-03-30,"ULBNCRK",100,3100,"rec00217",2021-03-29
"218","ap00218",2021-03-23,"TTWUZUZ",100,3700,"rec00218",2021-03-22
"219","ap00219",2021-04-10,"VCQHODG",100,3300,"rec00219",2021-04-09
"220","ap00220",2021-05-02,"XXXYCPE",100,2800,"rec00220",2021-05-01
"221","ap00221",2021-04-05,"DYQTXDW",100,2800,"rec00221",2021-04-04
"222","ap00222",2021-05-03,"LCZIXUY",100,3000,"rec00222",2021-05-02
"223","ap00223",2021-03-22,"TKJLTHQ",100,2600,"rec00223",2021-03-21
"224","ap00224",2021-04-11,"AXSQMGX",100,2500,"rec00224",2021-04-10
"225","ap00225",2021-04-09,"VWEVOEC",100,2900,"rec00225",2021-04-08
"226","ap00226",2021-05-27,"YZYZBCK",100,2400,"rec00226",2021-05-26
"227","ap00227",2021-03-18,"QAEKVBK",100,3200,"rec00227",2021-03-17
"228","ap00228",2021-04-02,"YRAFUEC",100,2100,"rec00228",2021-04-01
"229","ap00229",2021-03-28,"SMPLBAD",100,2400,"rec00229",2021-03-27
"230","ap00230",2021-04-12,"OYFMIFZ",100,4700,"rec00230",2021-04-11
"231","ap00231",2021-03-18,"JVLQBCP",100,2600,"rec00231",2021-03-17
"232","ap00232",2021-03-28,"NWWCCNR",100,2800,"rec00232",2021-03-27
"233","ap00233",2021-03-29,"NVJMQZA",100,3700,"rec00233",2021-03-28
"234","ap00234",2021-03-30,"ZJLPOQY",100,3300,"rec00234",2021-03-29
"235","ap00235",2021-04-19,"HSAFBZR",100,2500,"rec00235",2021-04-18
"236","ap00236",2021-03-22,"RSFRTNX",100,2500,"rec00236",2021-03-21
"237","ap00237",2021-04-12,"EKMTDVB",100,2900,"rec00237",2021-04-11
"238","ap00238",2021-03-24,"HFXZFIE",100,3300,"rec00238",2021-03-23
"239","ap00239",2021-03-19,"BLXWDOX",100,4200,"rec00239",2021-03-18
"240","ap00240",2021-04-10,"BKSMRRP",100,2700,"rec00240",2021-04-09
"241","ap00241",2021-04-11,"XCNFMAY",100,2900,"rec00241",2021-04-10
"242","ap00242",2021-03-24,"HWSYXJF",100,4100,"rec00242",2021-03-23
"243","ap00243",2021-03-23,"QAAFSNA",100,2200,"rec00243",2021-03-22
"244","ap00244",2021-03-21,"ZHVHQQY",100,3000,"rec00244",2021-03-20
"245","ap00245",2021-03-26,"MDWFIHZ",100,2100,"rec00245",2021-03-25
"246","ap00246",2021-04-19,"FFUTXPP",100,2700,"rec00246",2021-04-18
"247","ap00247",2021-03-23,"KEQMBQX",100,2800,"rec00247",2021-03-22
"248","ap00248",2021-03-27,"DBSJXQC",100,2500,"rec00248",2021-03-26
"249","ap00249",2021-04-04,"QJSPMCX",100,3300,"rec00249",2021-04-03
"250","ap00250",2021-03-25,"LAETZFO",100,2900,"rec00250",2021-03-24
"251","ap00251",2021-03-23,"LEEXFLN",100,2200,"rec00251",2021-03-22
"252","ap00252",2021-04-09,"WKZLBWC",100,3400,"rec00252",2021-04-08
"253","ap00253",2021-03-30,"XZNVYNB",100,2300,"rec00253",2021-03-29
"254","ap00254",2021-04-02,"GSPSUYF",100,1700,"rec00254",2021-04-01
"255","ap00255",2021-04-13,"FSNZUZG",100,2600,"rec00255",2021-04-12
"256","ap00256",2021-03-20,"YQFIDDC",100,3000,"rec00256",2021-03-19
"257","ap00257",2021-04-03,"NJFSIRL",100,2700,"rec00257",2021-04-02
"258","ap00258",2021-04-12,"PCCJXQQ",100,3300,"rec00258",2021-04-11
"259","ap00259",2021-04-17,"KIWCKNW",100,2900,"rec00259",2021-04-16
"260","ap00260",2021-03-24,"NGUWLYY",100,3000,"rec00260",2021-03-23
"261","ap00261",2021-03-21,"JRFOCFG",100,3900,"rec00261",2021-03-20
"262","ap00262",2021-03-23,"RZNISKM",100,2900,"rec00262",2021-03-22
"263","ap00263",2021-04-07,"HRVYLQI",100,3500,"rec00263",2021-04-06
"264","ap00264",2021-03-27,"SBYNXRT",100,3400,"rec00264",2021-03-26
"265","ap00265",2021-04-04,"XJEAIAO",100,3800,"rec00265",2021-04-03
"266","ap00266",2021-03-25,"GQKKFTP",100,3400,"rec00266",2021-03-24
"267","ap00267",2021-03-29,"QECCKKT",100,3800,"rec00267",2021-03-28
"268","ap00268",2021-03-21,"OPMOTZM",100,2500,"rec00268",2021-03-20
"269","ap00269",2021-04-03,"JXLWPFU",100,3000,"rec00269",2021-04-02
"270","ap00270",2021-04-11,"MGLEMNS",100,2500,"rec00270",2021-04-10
"271","ap00271",2021-04-30,"CQWSBHP",100,3800,"rec00271",2021-04-29
"272","ap00272",2021-03-28,"FOWFQEX",100,2500,"rec00272",2021-03-27
"273","ap00273",2021-04-14,"ADOSYIO",100,3000,"rec00273",2021-04-13
"274","ap00274",2021-03-27,"BPQUSMP",100,2600,"rec00274",2021-03-26
"275","ap00275",2021-05-02,"ZFWFGIX",100,3400,"rec00275",2021-05-01
"276","ap00276",2021-06-04,"AIZQJBO",100,2800,"rec00276",2021-06-03
"277","ap00277",2021-05-17,"LJICNCJ",100,3500,"rec00277",2021-05-16
"278","ap00278",2021-03-21,"GQPUWVY",100,2500,"rec00278",2021-03-20
"279","ap00279",2021-03-23,"SRGDJGI",100,3400,"rec00279",2021-03-22
"280","ap00280",2021-04-25,"YOADBFB",100,2800,"rec00280",2021-04-24
"281","ap00281",2021-04-17,"XELPZEN",100,2800,"rec00281",2021-04-16
"282","ap00282",2021-04-28,"MUGIRQP",100,2900,"rec00282",2021-04-27
"283","ap00283",2021-03-31,"VWMGSTZ",100,3100,"rec00283",2021-03-30
"284","ap00284",2021-03-22,"SGNBWQN",100,3900,"rec00284",2021-03-21
"285","ap00285",2021-04-08,"KHETMVQ",100,3800,"rec00285",2021-04-07
"286","ap00286",2021-03-27,"OCQCTNJ",100,3500,"rec00286",2021-03-26
"287","ap00287",2021-04-08,"MSOOMOE",100,2400,"rec00287",2021-04-07
"288","ap00288",2021-04-02,"TMZJUAB",100,3400,"rec00288",2021-04-01
"289","ap00289",2021-04-15,"AUPYPKB",100,2500,"rec00289",2021-04-14
"290","ap00290",2021-03-25,"YIYWLBC",100,3600,"rec00290",2021-03-24
"291","ap00291",2021-04-26,"FKZURXB",100,2800,"rec00291",2021-04-25
"292","ap00292",2021-04-04,"RRNOCYR",100,2600,"rec00292",2021-04-03
"293","ap00293",2021-03-26,"BXZWUDX",100,3900,"rec00293",2021-03-25
"294","ap00294",2021-03-23,"SBIRYAF",100,3100,"rec00294",2021-03-22
"295","ap00295",2021-04-17,"EKSHFFF",100,3300,"rec00295",2021-04-16
"296","ap00296",2021-04-06,"LXDYWBP",100,3600,"rec00296",2021-04-05
"297","ap00297",2021-03-29,"CNXUPSP",100,3300,"rec00297",2021-03-28
"298","ap00298",2021-04-11,"XFYDYRL",100,2800,"rec00298",2021-04-10
"299","ap00299",2021-04-07,"VXAAYIW",100,3300,"rec00299",2021-04-06
"300","ap00300",2021-03-22,"EXWXLCR",100,3000,"rec00300",2021-03-21
"301","ap00301",2021-04-01,"MVAARYR",100,2900,"rec00301",2021-03-31
"302","ap00302",2021-04-15,"KGOLEPF",100,3400,"rec00302",2021-04-14
"303","ap00303",2021-04-19,"NFITPMM",100,2700,"rec00303",2021-04-18
"304","ap00304",2021-03-26,"SQEWGMD",100,4000,"rec00304",2021-03-25
"305","ap00305",2021-05-07,"TFWKJKO",100,3000,"rec00305",2021-05-06
"306","ap00306",2021-04-02,"RQEFXCH",100,2800,"rec00306",2021-04-01
"307","ap00307",2021-03-30,"ZXOYLMM",100,3100,"rec00307",2021-03-29
"308","ap00308",2021-05-13,"CCEXJHP",100,2900,"rec00308",2021-05-12
"309","ap00309",2021-03-26,"VVUTCFP",100,2800,"rec00309",2021-03-25
"310","ap00310",2021-04-09,"WYEDXHX",100,3800,"rec00310",2021-04-08
"311","ap00311",2021-04-08,"RPXIJOC",100,4000,"rec00311",2021-04-07
"312","ap00312",2021-03-27,"DHELEND",100,2900,"rec00312",2021-03-26
"313","ap00313",2021-03-29,"YYZGYXC",100,3200,"rec00313",2021-03-28
"314","ap00314",2021-04-12,"XPMQRLT",100,2600,"rec00314",2021-04-11
"315","ap00315",2021-03-24,"JRMTIMN",100,3300,"rec00315",2021-03-23
"316","ap00316",2021-04-06,"QQIYZNA",100,3100,"rec00316",2021-04-05
"317","ap00317",2021-03-27,"DTGVDPA",100,4100,"rec00317",2021-03-26
"318","ap00318",2021-04-13,"RVWHPYH",100,2200,"rec00318",2021-04-12
"319","ap00319",2021-03-25,"TOHGWKJ",100,2000,"rec00319",2021-03-24
"320","ap00320",2021-05-07,"UUHIVKA",100,3100,"rec00320",2021-05-06
"321","ap00321",2021-05-04,"ZQRKKBY",100,3400,"rec00321",2021-05-03
"322","ap00322",2021-04-05,"WKYTFIQ",100,2800,"rec00322",2021-04-04
"323","ap00323",2021-03-26,"UOJRXQI",100,2500,"rec00323",2021-03-25
"324","ap00324",2021-03-24,"CQYLUDX",100,3000,"rec00324",2021-03-23
"325","ap00325",2021-04-20,"JVCHWYQ",100,2100,"rec00325",2021-04-19
"326","ap00326",2021-03-30,"YHASPVN",100,3100,"rec00326",2021-03-29
"327","ap00327",2021-03-28,"LAFECHF",100,2800,"rec00327",2021-03-27
"328","ap00328",2021-04-02,"OSHEUNF",100,3700,"rec00328",2021-04-01
"329","ap00329",2021-04-09,"TCJZEZH",100,2200,"rec00329",2021-04-08
"330","ap00330",2021-03-25,"QGURYVS",100,3800,"rec00330",2021-03-24
"331","ap00331",2021-04-10,"FOLPBVP",100,3000,"rec00331",2021-04-09
