"","customer_no","invoice_no","invoice_date","sku","sales_count","sales_return","unit_cost","sales_unit_price","collection_no","collection_date","collection_amount","shipper_no","shipper_date"
"79","c00854","i00365",2021-01-02,"EKSHFFF",3,0,29,116,"r00078",2021-01-02,348,"s00342",2021-01-06
"80","c00724","i00534",2021-01-02,"ZOFBOHP",2,0,24,72,"r00114",2021-01-02,144,"s00343",2021-01-06
"81","c00536","i00317",2021-01-02,"HEEXAXP",3,0,23,46,"r00062",2021-01-02,138,"s00455",2021-01-07
"82","c00918","i00331",2021-01-02,"HWHNRLM",3,0,32,128,"r00066",2021-01-02,384,"s00456",2021-01-07
"83","c00510","i00337",2021-01-02,"IUIJPPK",4,0,22,44,"r00067",2021-01-02,176,"s00457",2021-01-07
"84","c00074","i00351",2021-01-02,"KSKFCXR",2,0,32,96,"r00073",2021-01-02,192,"s00458",2021-01-07
"85","c00900","i00402",2021-01-02,"DKKXEOH",2,0,26,52,"r00082",2021-01-02,104,"s00737",2021-01-09
"86","c00773","i00407",2021-01-02,"FRGNNQE",3,0,33,33,"r00085",2021-01-02,99,"s00738",2021-01-09
"87","c00010","i00541",2021-01-02,"TVRHRXE",3,0,34,102,"r00115",2021-01-02,306,"s00739",2021-01-09
"88","c00615","i00462",2021-01-02,"SDUTHXE",2,0,36,72,"r00100",2021-01-02,144,"s00910",2021-01-10
"89","c00183","i00549",2021-01-02,"TMZJUAB",1,0,24,24,"r00116",2021-01-02,24,"s00911",2021-01-10
"90","c00179","i00487",2021-01-02,"MDWFIHZ",3,0,32,96,"r00108",2021-01-02,288,"s01058",2021-01-11
"91","c00149","i00490",2021-01-02,"CMWWCGG",0,0,26,52,"r00109",2021-01-02,0,"s01059",2021-01-11
"92","c00948","i00413",2021-01-02,"QNIEQWZ",2,0,26,78,"r00088",2021-01-02,156,"s01250",2021-01-12
"93","c00863","i00454",2021-01-02,"QVTPKNI",1,0,24,48,"r00096",2021-01-02,48,"s01251",2021-01-12
"94","c00669","i00460",2021-01-02,"HRVYLQI",1,0,25,50,"r00099",2021-01-02,50,"s01252",2021-01-12
"95","c00909","i00464",2021-01-02,"QLWFBBY",1,0,28,56,"r00101",2021-01-02,56,"s01253",2021-01-12
"96","c00377","i00404",2021-01-02,"SGNBWQN",4,0,43,129,"r00083",2021-01-02,516,"s01422",2021-01-13
"97","c00765","i00347",2021-01-02,"TJSPDLR",3,0,24,72,"r00070",2021-01-02,216,"s01596",2021-01-14
"98","c00404","i00393",2021-01-02,"FCSGCTT",2,0,21,42,"r00081",2021-01-02,84,"s01597",2021-01-14
"99","c00454","i00414",2021-01-02,"KHZEJIK",0,0,28,28,"r00089",2021-01-02,0,"s01598",2021-01-14
"100","c00402","i00471",2021-01-02,"TRIRZNU",1,0,20,80,"r00103",2021-01-02,80,"s01599",2021-01-14
"101","c00177","i00550",2021-01-02,"YKPKELC",1,0,28,56,"r00117",2021-01-02,56,"s01600",2021-01-14
"102","c00548","i00448",2021-01-02,"DWOLSSW",5,1,33,99,"r00094",2021-01-02,495,"s01806",2021-01-15
"103","c00490","i00571",2021-01-02,"BWCWYBE",1,0,38,76,"r00119",2021-01-02,76,"s01807",2021-01-15
"104","c00798","i00362",2021-01-02,"VKQLZHW",4,0,37,74,"r00077",2021-01-02,296,"s02018",2021-01-16
"105","c00367","i00457",2021-01-02,"GXPRDLH",3,0,21,42,"r00097",2021-01-02,126,"s02019",2021-01-16
"106","c00077","i00353",2021-01-02,"CVTAJDH",0,0,37,111,"r00074",2021-01-02,0,"s02242",2021-01-17
"107","c00933","i00482",2021-01-02,"FXTOLQU",3,0,23,69,"r00107",2021-01-02,207,"s02447",2021-01-18
"108","c00575","i00378",2021-01-02,"LPIQMYE",4,0,26,26,"r00079",2021-01-02,104,"s02668",2021-01-19
"109","c00339","i00443",2021-01-02,"XCNFMAY",2,0,28,140,"r00093",2021-01-02,280,"s02903",2021-01-20
"110","c00256","i00524",2021-01-02,"BBVKGVN",3,0,28,84,"r00112",2021-01-02,252,"s02904",2021-01-20
"111","c00047","i00348",2021-01-02,"SOEOLLF",1,0,28,56,"r00071",2021-01-02,56,"s03142",2021-01-21
"112","c00865","i00359",2021-01-02,"CCEXJHP",4,0,42,210,"r00076",2021-01-02,840,"s03143",2021-01-21
"113","c00269","i00296",2021-01-02,"UIUIDCC",0,0,22,44,"r00059",2021-01-02,0,"s03383",2021-01-22
"114","c00851","i00344",2021-01-02,"CDFGTPX",0,0,33,132,"r00068",2021-01-02,0,"s03384",2021-01-22
"115","c00477","i00478",2021-01-02,"TWSIBSU",5,0,25,50,"r00106",2021-01-02,250,"s03612",2021-01-23
"116","c00907","i00451",2021-01-02,"SJAUHQH",0,0,36,144,"r00095",2021-01-02,0,"s04089",2021-01-25
"117","c00245","i00350",2021-01-02,"WJZLWYV",4,0,24,72,"r00072",2021-01-02,288,"s04559",2021-01-27
"118","c00746","i00354",2021-01-02,"ERRDNQR",2,0,25,75,"r00075",2021-01-02,150,"s04830",2021-01-28
"119","c00947","i00309",2021-01-02,"UFKQHPZ",1,0,22,44,"r00061",2021-01-02,44,"s06140",2021-02-02
"120","c00917","i00501",2021-01-02,"EWEDERG",2,0,25,75,"r00111",2021-01-02,150,"s08585",2021-02-11
"121","c00272","i00429",2021-01-02,"TPCVNKA",2,0,31,62,"r00091",2021-01-02,124,"s09118",2021-02-13
"122","c00349","i00388",2021-01-02,"HWDIAAC",4,0,32,128,"r00080",2021-01-02,512,"s09403",2021-02-14
"123","c00690","i00656",2021-01-03,"NAAHQUY",2,0,29,116,"r00139",2021-01-03,232,"s00109",2021-01-03
"124","c00291","i00684",2021-01-03,"TPCVNKA",1,0,38,38,"r00145",2021-01-03,38,"s00110",2021-01-03
"125","c00815","i00661",2021-01-03,"FQBLLFZ",2,0,23,23,"r00140",2021-01-03,46,"s00169",2021-01-04
"126","c00158","i00708",2021-01-03,"PQEAEBU",0,0,22,44,"r00148",2021-01-03,0,"s00170",2021-01-04
"127","c00123","i00742",2021-01-03,"TVRHRXE",3,0,33,99,"r00156",2021-01-03,297,"s00171",2021-01-04
"128","c00694","i00752",2021-01-03,"WBSAVLO",4,0,24,48,"r00157",2021-01-03,192,"s00172",2021-01-04
"129","c00255","i00781",2021-01-03,"SSGQIJK",4,0,21,21,"r00163",2021-01-03,84,"s00173",2021-01-04
"130","c00534","i00791",2021-01-03,"QZFWGRO",0,0,19,38,"r00165",2021-01-03,0,"s00174",2021-01-04
"131","c00452","i00828",2021-01-03,"ZIOKYJU",2,0,36,144,"r00176",2021-01-03,288,"s00175",2021-01-04
"132","c00531","i00753",2021-01-03,"KIWWRLF",3,1,37,111,"r00158",2021-01-03,333,"s00261",2021-01-05
"133","c00785","i00671",2021-01-03,"KVPMKRG",1,0,30,30,"r00141",2021-01-03,30,"s00356",2021-01-06
"134","c00302","i00833",2021-01-03,"NLBBRRS",2,0,31,93,"r00177",2021-01-03,186,"s00357",2021-01-06
"135","c00386","i00854",2021-01-03,"ITYQURY",2,1,23,46,"r00185",2021-01-03,92,"s00358",2021-01-06
"136","c00577","i00597",2021-01-03,"TRIRZNU",2,0,27,54,"r00126",2021-01-03,108,"s00483",2021-01-07
"137","c00004","i00682",2021-01-03,"LZJFUOG",2,0,28,84,"r00144",2021-01-03,168,"s00484",2021-01-07
"138","c00034","i00695",2021-01-03,"VFAGAUC",2,0,38,114,"r00146",2021-01-03,228,"s00485",2021-01-07
"139","c00695","i00838",2021-01-03,"XPLUVGP",2,1,31,31,"r00179",2021-01-03,62,"s00486",2021-01-07
"140","c00197","i00850",2021-01-03,"DJYHXZE",2,0,28,112,"r00184",2021-01-03,224,"s00487",2021-01-07
"141","c00981","i00864",2021-01-03,"AMLFWVI",5,0,38,38,"r00188",2021-01-03,190,"s00614",2021-01-08
"142","c00891","i00765",2021-01-03,"RIWCMEQ",2,1,26,26,"r00162",2021-01-03,52,"s00754",2021-01-09
"143","c00409","i00863",2021-01-03,"GTVWDJR",1,0,33,99,"r00187",2021-01-03,99,"s00755",2021-01-09
"144","c00694","i00606",2021-01-03,"KLCEZWA",3,0,28,56,"r00129",2021-01-03,168,"s00927",2021-01-10
"145","c00888","i00639",2021-01-03,"INDYBRZ",5,0,26,52,"r00135",2021-01-03,260,"s00928",2021-01-10
"146","c00495","i00702",2021-01-03,"QUJTJNL",4,1,37,148,"r00147",2021-01-03,592,"s00929",2021-01-10
"147","c00119","i00741",2021-01-03,"ITEEXNA",0,0,32,96,"r00155",2021-01-03,0,"s00930",2021-01-10
"148","c00867","i00835",2021-01-03,"GLUJFRJ",5,0,28,84,"r00178",2021-01-03,420,"s00931",2021-01-10
"149","c00761","i00840",2021-01-03,"GTATTCD",2,0,39,78,"r00180",2021-01-03,156,"s00932",2021-01-10
"150","c00778","i00600",2021-01-03,"EAWPQWC",1,0,34,136,"r00128",2021-01-03,136,"s01067",2021-01-11
"151","c00197","i00627",2021-01-03,"UJTIHNT",1,0,37,74,"r00132",2021-01-03,74,"s01068",2021-01-11
"152","c00206","i00735",2021-01-03,"EQWRHLR",4,0,25,75,"r00152",2021-01-03,300,"s01069",2021-01-11
"153","c00410","i00810",2021-01-03,"ZWQVVJS",2,0,28,84,"r00169",2021-01-03,168,"s01070",2021-01-11
"154","c00650","i00817",2021-01-03,"PARIMCC",1,0,37,74,"r00173",2021-01-03,74,"s01071",2021-01-11
"155","c00600","i00856",2021-01-03,"VVEWTSO",3,0,34,34,"r00186",2021-01-03,102,"s01072",2021-01-11
"156","c00064","i00625",2021-01-03,"XCOTMET",0,0,39,156,"r00131",2021-01-03,0,"s01267",2021-01-12
"157","c00654","i00635",2021-01-03,"DJCGRXL",3,0,36,108,"r00133",2021-01-03,324,"s01268",2021-01-12
"158","c00217","i00640",2021-01-03,"GLUJFRJ",1,0,19,57,"r00136",2021-01-03,57,"s01269",2021-01-12
"159","c00404","i00842",2021-01-03,"WOZOSPG",0,0,24,48,"r00181",2021-01-03,0,"s01431",2021-01-13
"160","c00448","i00638",2021-01-03,"AUTRSRF",0,0,29,87,"r00134",2021-01-03,0,"s01613",2021-01-14
"161","c00338","i00725",2021-01-03,"ITYQURY",1,0,34,136,"r00150",2021-01-03,136,"s01614",2021-01-14
"162","c00914","i00759",2021-01-03,"HWMKHSA",2,0,33,99,"r00159",2021-01-03,198,"s01615",2021-01-14
"163","c00239","i00799",2021-01-03,"NQAHVIF",0,0,32,32,"r00167",2021-01-03,0,"s01616",2021-01-14
"164","c00617","i00821",2021-01-03,"CXUBFZR",2,0,29,58,"r00174",2021-01-03,116,"s01813",2021-01-15
"165","c00247","i00796",2021-01-03,"DPXIKLN",1,0,31,155,"r00166",2021-01-03,155,"s02023",2021-01-16
"166","c00530","i00809",2021-01-03,"JRFOCFG",3,0,24,24,"r00168",2021-01-03,72,"s02024",2021-01-16
"167","c00890","i00679",2021-01-03,"HWSYXJF",1,0,34,102,"r00143",2021-01-03,102,"s02248",2021-01-17
"168","c00822","i00867",2021-01-03,"NDRCDAF",3,1,26,52,"r00189",2021-01-03,156,"s02249",2021-01-17
"169","c00452","i00734",2021-01-03,"RDCEJVX",0,0,36,144,"r00151",2021-01-03,0,"s02448",2021-01-18
"170","c00127","i00643",2021-01-03,"KSKFCXR",3,0,32,96,"r00137",2021-01-03,288,"s02675",2021-01-19
"171","c00083","i00824",2021-01-03,"QECCKKT",4,0,21,84,"r00175",2021-01-03,336,"s02676",2021-01-19
"172","c00709","i00814",2021-01-03,"UVAFIBT",2,0,35,70,"r00171",2021-01-03,140,"s02907",2021-01-20
"173","c00031","i00846",2021-01-03,"ZGVDTEK",1,0,34,68,"r00182",2021-01-03,68,"s03145",2021-01-21
"174","c00261","i00618",2021-01-03,"BWCWYBE",2,0,26,78,"r00130",2021-01-03,156,"s03388",2021-01-22
"175","c00544","i00740",2021-01-03,"NSANFWZ",1,0,39,78,"r00154",2021-01-03,78,"s04091",2021-01-25
"176","c00419","i00760",2021-01-03,"EQUSJXR",3,0,21,42,"r00160",2021-01-03,126,"s04092",2021-01-25
"177","c00474","i00736",2021-01-03,"SARYBPA",1,0,20,60,"r00153",2021-01-03,60,"s04318",2021-01-26
"178","c00694","i00783",2021-01-03,"LAHDFVE",0,0,33,132,"r00164",2021-01-03,0,"s05083",2021-01-29
"179","c00106","i00849",2021-01-03,"IRULFJS",2,0,34,136,"r00183",2021-01-03,272,"s05084",2021-01-29
"180","c00668","i00715",2021-01-03,"FNOXIGU",0,0,25,50,"r00149",2021-01-03,0,"s05371",2021-01-30
"181","c00490","i00811",2021-01-03,"QLWFBBY",2,0,29,58,"r00170",2021-01-03,116,"s05610",2021-01-31
"182","c00438","i00598",2021-01-03,"TWSIBSU",0,0,28,56,"r00127",2021-01-03,0,"s06922",2021-02-05
"183","c00885","i00763",2021-01-03,"WZBEWDY",3,1,29,58,"r00161",2021-01-03,174,"s06923",2021-02-05
"184","c00120","i00649",2021-01-03,"YKIZCSD",5,0,30,60,"r00138",2021-01-03,300,"s07185",2021-02-06
"185","c00978","i00674",2021-01-03,"CNWBZQG",1,0,33,66,"r00142",2021-01-03,66,"s07769",2021-02-08
"186","c00874","i00816",2021-01-03,"URPUOFX",2,1,22,44,"r00172",2021-01-03,88,"s09406",2021-02-14
"187","c00385","i00974",2021-01-04,"EKSHFFF",0,0,28,56,"r00202",2021-01-04,0,"s00199",2021-01-04
"188","c00382","i01072",2021-01-04,"BDVQXSF",0,0,32,128,"r00228",2021-01-04,0,"s00200",2021-01-04
"189","c00940","i01090",2021-01-04,"BCFPRIY",3,0,28,84,"r00230",2021-01-04,252,"s00201",2021-01-04
"190","c00317","i01095",2021-01-04,"CESMDML",0,0,25,50,"r00231",2021-01-04,0,"s00202",2021-01-04
"191","c00149","i01122",2021-01-04,"WNRXNTY",3,0,29,87,"r00239",2021-01-04,261,"s00203",2021-01-04
"192","c00833","i01170",2021-01-04,"TWSIBSU",3,0,38,76,"r00249",2021-01-04,228,"s00204",2021-01-04
"193","c00916","i00878",2021-01-04,"OSMECNX",1,0,28,56,"r00193",2021-01-04,56,"s00284",2021-01-05
"194","c00185","i01005",2021-01-04,"ZXJJHEM",0,0,27,81,"r00207",2021-01-04,0,"s00285",2021-01-05
"195","c00695","i01129",2021-01-04,"IMMLUJJ",0,0,26,52,"r00240",2021-01-04,0,"s00286",2021-01-05
"196","c00862","i01137",2021-01-04,"IOZREKB",2,0,31,62,"r00242",2021-01-04,124,"s00287",2021-01-05
"197","c00454","i01149",2021-01-04,"HKURBVT",5,0,25,50,"r00245",2021-01-04,250,"s00288",2021-01-05
"198","c00428","i01027",2021-01-04,"QLWFBBY",0,0,38,152,"r00214",2021-01-04,0,"s00381",2021-01-06
"199","c00018","i01036",2021-01-04,"AUPYPKB",2,0,23,92,"r00217",2021-01-04,184,"s00382",2021-01-06
"200","c00118","i01120",2021-01-04,"URKXWEN",0,0,32,32,"r00238",2021-01-04,0,"s00383",2021-01-06
"201","c00261","i01154",2021-01-04,"JOPBZOY",0,0,34,136,"r00247",2021-01-04,0,"s00384",2021-01-06
"202","c00938","i01157",2021-01-04,"ZJIDQTG",0,0,25,25,"r00248",2021-01-04,0,"s00385",2021-01-06
"203","c00404","i00879",2021-01-04,"AGEZHXM",5,0,30,120,"r00194",2021-01-04,600,"s00499",2021-01-07
"204","c00880","i01052",2021-01-04,"CHELCST",2,0,26,130,"r00222",2021-01-04,260,"s00500",2021-01-07
"205","c00756","i01099",2021-01-04,"LQAVXXZ",1,0,28,56,"r00232",2021-01-04,56,"s00501",2021-01-07
"206","c00718","i01116",2021-01-04,"SABLEIM",2,0,28,56,"r00237",2021-01-04,112,"s00502",2021-01-07
"207","c00230","i00892",2021-01-04,"BBVWKLA",1,0,33,66,"r00195",2021-01-04,66,"s00626",2021-01-08
"208","c00548","i01064",2021-01-04,"SARYBPA",2,0,29,87,"r00226",2021-01-04,174,"s00627",2021-01-08
"209","c00047","i00901",2021-01-04,"SLOJNZH",3,0,32,64,"r00196",2021-01-04,192,"s00767",2021-01-09
"210","c00039","i01016",2021-01-04,"UWAOAMK",1,0,32,32,"r00210",2021-01-04,32,"s00768",2021-01-09
"211","c00927","i01026",2021-01-04,"GVGHLRS",1,0,30,90,"r00213",2021-01-04,90,"s00769",2021-01-09
"212","c00983","i01045",2021-01-04,"UBYRHGL",1,0,24,48,"r00219",2021-01-04,48,"s00770",2021-01-09
"213","c00562","i01101",2021-01-04,"BYUGQFX",1,0,37,111,"r00233",2021-01-04,111,"s00771",2021-01-09
"214","c00147","i00981",2021-01-04,"GFJLRUJ",3,0,22,44,"r00203",2021-01-04,132,"s00937",2021-01-10
"215","c00396","i01001",2021-01-04,"QHVTCKY",3,0,28,84,"r00206",2021-01-04,252,"s00938",2021-01-10
"216","c00420","i01048",2021-01-04,"VPVQLMA",6,0,44,132,"r00220",2021-01-04,792,"s00939",2021-01-10
"217","c00151","i01056",2021-01-04,"STSDLUO",2,0,29,87,"r00223",2021-01-04,174,"s00940",2021-01-10
"218","c00550","i00936",2021-01-04,"JRSCBEL",0,0,29,87,"r00199",2021-01-04,0,"s01084",2021-01-11
"219","c00728","i01076",2021-01-04,"TTPKYJR",2,0,41,164,"r00229",2021-01-04,328,"s01085",2021-01-11
"220","c00323","i01132",2021-01-04,"TRTFDCF",3,0,32,96,"r00241",2021-01-04,288,"s01086",2021-01-11
"221","c00280","i01142",2021-01-04,"TPDMJWS",1,0,21,63,"r00244",2021-01-04,63,"s01087",2021-01-11
"222","c00495","i01051",2021-01-04,"DEHKOMP",2,0,22,44,"r00221",2021-01-04,88,"s01278",2021-01-12
"223","c00804","i00983",2021-01-04,"KQQIBBJ",0,0,38,152,"r00204",2021-01-04,0,"s01436",2021-01-13
"224","c00988","i01023",2021-01-04,"FHUZZIB",4,1,26,78,"r00212",2021-01-04,312,"s01437",2021-01-13
"225","c00014","i01060",2021-01-04,"CFRAVBY",1,0,35,105,"r00224",2021-01-04,105,"s01438",2021-01-13
"226","c00023","i01138",2021-01-04,"JRFOCFG",0,0,30,30,"r00243",2021-01-04,0,"s01439",2021-01-13
"227","c00081","i00923",2021-01-04,"PZNFWMT",3,0,42,42,"r00198",2021-01-04,126,"s01626",2021-01-14
