"","sku","date","stock_on_hand"
"301","ACDOAAZ",2021-12-25,92
"302","ACNQHRE",2021-01-05,95
"303","ACNQHRE",2021-01-06,93
"304","ACNQHRE",2021-01-06,91
"305","ACNQHRE",2021-01-17,89
"306","ACNQHRE",2021-01-18,87
"307","ACNQHRE",2021-01-30,85
"308","ACNQHRE",2021-01-30,81
"309","ACNQHRE",2021-01-31,79
"310","ACNQHRE",2021-02-04,77
"311","ACNQHRE",2021-02-04,76
"312","ACNQHRE",2021-02-07,73
"313","ACNQHRE",2021-02-09,71
"314","ACNQHRE",2021-02-16,71
"315","ACNQHRE",2021-02-18,68
"316","ACNQHRE",2021-02-19,65
"317","ACNQHRE",2021-02-19,63
"318","ACNQHRE",2021-02-20,60
"319","ACNQHRE",2021-02-28,56
"320","ACNQHRE",2021-03-01,53
"321","ACNQHRE",2021-03-10,47
"322","ACNQHRE",2021-03-12,142
"323","ACNQHRE",2021-03-14,139
"324","ACNQHRE",2021-03-15,134
"325","ACNQHRE",2021-03-15,132
"326","ACNQHRE",2021-03-29,130
"327","ACNQHRE",2021-04-01,130
"328","ACNQHRE",2021-04-02,127
"329","ACNQHRE",2021-04-03,125
"330","ACNQHRE",2021-04-04,123
"331","ACNQHRE",2021-04-06,123
"332","ACNQHRE",2021-04-06,121
"333","ACNQHRE",2021-04-07,119
"334","ACNQHRE",2021-04-25,119
"335","ACNQHRE",2021-04-25,116
"336","ACNQHRE",2021-05-03,114
"337","ACNQHRE",2021-05-03,112
"338","ACNQHRE",2021-05-04,111
"339","ACNQHRE",2021-05-08,108
"340","ACNQHRE",2021-05-09,107
"341","ACNQHRE",2021-05-10,105
"342","ACNQHRE",2021-05-12,105
"343","ACNQHRE",2021-05-12,103
"344","ACNQHRE",2021-05-18,103
"345","ACNQHRE",2021-05-22,103
"346","ACNQHRE",2021-05-24,102
"347","ACNQHRE",2021-05-27,99
"348","ACNQHRE",2021-06-01,96
"349","ACNQHRE",2021-06-02,96
"350","ACNQHRE",2021-06-05,95
"351","ACNQHRE",2021-06-09,94
"352","ACNQHRE",2021-06-22,92
"353","ACNQHRE",2021-06-24,92
"354","ACNQHRE",2021-06-29,91
"355","ACNQHRE",2021-06-30,87
"356","ACNQHRE",2021-07-04,85
"357","ACNQHRE",2021-07-14,85
"358","ACNQHRE",2021-07-14,83
"359","ACNQHRE",2021-07-17,79
"360","ACNQHRE",2021-07-25,76
"361","ACNQHRE",2021-07-28,74
"362","ACNQHRE",2021-07-29,72
"363","ACNQHRE",2021-08-09,68
"364","ACNQHRE",2021-08-11,65
"365","ACNQHRE",2021-08-11,62
"366","ACNQHRE",2021-08-15,60
"367","ACNQHRE",2021-08-18,56
"368","ACNQHRE",2021-08-21,51
"369","ACNQHRE",2021-08-24,48
"370","ACNQHRE",2021-08-26,145
"371","ACNQHRE",2021-08-27,143
"372","ACNQHRE",2021-08-30,142
"373","ACNQHRE",2021-08-30,141
"374","ACNQHRE",2021-09-06,140
"375","ACNQHRE",2021-09-14,138
"376","ACNQHRE",2021-09-14,136
"377","ACNQHRE",2021-09-17,134
"378","ACNQHRE",2021-09-20,131
"379","ACNQHRE",2021-09-22,131
"380","ACNQHRE",2021-10-01,130
"381","ACNQHRE",2021-10-03,126
"382","ACNQHRE",2021-10-05,124
"383","ACNQHRE",2021-10-06,123
"384","ACNQHRE",2021-10-10,122
"385","ACNQHRE",2021-10-11,120
"386","ACNQHRE",2021-10-19,116
"387","ACNQHRE",2021-10-25,116
"388","ACNQHRE",2021-10-31,113
"389","ACNQHRE",2021-11-07,112
"390","ACNQHRE",2021-11-08,110
"391","ACNQHRE",2021-11-12,106
"392","ACNQHRE",2021-11-14,104
"393","ACNQHRE",2021-11-22,104
"394","ACNQHRE",2021-11-25,103
"395","ACNQHRE",2021-11-29,99
"396","ACNQHRE",2021-11-29,99
"397","ACNQHRE",2021-12-02,96
"398","ACNQHRE",2021-12-04,95
"399","ACNQHRE",2021-12-08,93
"400","ACNQHRE",2021-12-09,93
"401","ACNQHRE",2021-12-10,89
"402","ACNQHRE",2021-12-17,85
"403","ACNQHRE",2021-12-18,83
"404","ACNQHRE",2021-12-25,83
"405","ACNQHRE",2021-12-26,82
"406","ACQRBAH",2021-01-01,107
"407","ACQRBAH",2021-01-05,105
"408","ACQRBAH",2021-01-08,103
"409","ACQRBAH",2021-01-25,102
"410","ACQRBAH",2021-01-25,100
"411","ACQRBAH",2021-01-29,99
"412","ACQRBAH",2021-01-29,98
"413","ACQRBAH",2021-02-01,97
"414","ACQRBAH",2021-02-03,97
"415","ACQRBAH",2021-02-04,96
"416","ACQRBAH",2021-02-07,93
"417","ACQRBAH",2021-02-09,91
"418","ACQRBAH",2021-02-13,88
"419","ACQRBAH",2021-02-16,87
"420","ACQRBAH",2021-02-16,87
"421","ACQRBAH",2021-03-01,85
"422","ACQRBAH",2021-03-09,83
"423","ACQRBAH",2021-03-13,83
"424","ACQRBAH",2021-03-17,80
"425","ACQRBAH",2021-03-19,74
"426","ACQRBAH",2021-03-19,73
"427","ACQRBAH",2021-03-20,72
"428","ACQRBAH",2021-03-31,72
"429","ACQRBAH",2021-03-31,69
"430","ACQRBAH",2021-04-03,67
"431","ACQRBAH",2021-04-06,66
"432","ACQRBAH",2021-04-10,64
"433","ACQRBAH",2021-04-15,63
"434","ACQRBAH",2021-04-24,60
"435","ACQRBAH",2021-04-29,60
"436","ACQRBAH",2021-05-02,59
"437","ACQRBAH",2021-05-12,56
"438","ACQRBAH",2021-05-17,54
"439","ACQRBAH",2021-06-01,51
"440","ACQRBAH",2021-06-02,50
"441","ACQRBAH",2021-06-07,48
"442","ACQRBAH",2021-06-08,145
"443","ACQRBAH",2021-06-09,144
"444","ACQRBAH",2021-06-18,142
"445","ACQRBAH",2021-06-25,142
"446","ACQRBAH",2021-07-05,140
"447","ACQRBAH",2021-07-20,136
"448","ACQRBAH",2021-07-22,134
"449","ACQRBAH",2021-07-23,131
"450","ACQRBAH",2021-07-23,128
"451","ACQRBAH",2021-07-24,126
"452","ACQRBAH",2021-07-31,124
"453","ACQRBAH",2021-07-31,120
"454","ACQRBAH",2021-08-01,118
"455","ACQRBAH",2021-08-05,116
"456","ACQRBAH",2021-08-07,116
"457","ACQRBAH",2021-08-07,113
"458","ACQRBAH",2021-08-16,113
"459","ACQRBAH",2021-08-18,110
"460","ACQRBAH",2021-08-20,109
"461","ACQRBAH",2021-08-21,106
"462","ACQRBAH",2021-08-23,105
"463","ACQRBAH",2021-08-27,102
"464","ACQRBAH",2021-08-27,102
"465","ACQRBAH",2021-08-29,99
"466","ACQRBAH",2021-08-29,99
"467","ACQRBAH",2021-08-31,97
"468","ACQRBAH",2021-09-02,94
"469","ACQRBAH",2021-09-03,93
"470","ACQRBAH",2021-09-03,90
"471","ACQRBAH",2021-09-06,87
"472","ACQRBAH",2021-09-10,86
"473","ACQRBAH",2021-09-10,84
"474","ACQRBAH",2021-09-14,83
"475","ACQRBAH",2021-09-18,80
"476","ACQRBAH",2021-09-21,79
"477","ACQRBAH",2021-10-01,77
"478","ACQRBAH",2021-10-02,76
"479","ACQRBAH",2021-10-08,73
"480","ACQRBAH",2021-10-16,71
"481","ACQRBAH",2021-10-18,69
"482","ACQRBAH",2021-10-19,67
"483","ACQRBAH",2021-11-01,64
"484","ACQRBAH",2021-11-04,62
"485","ACQRBAH",2021-11-07,61
"486","ACQRBAH",2021-11-07,61
"487","ACQRBAH",2021-11-08,59
"488","ACQRBAH",2021-11-13,57
"489","ACQRBAH",2021-11-17,54
"490","ACQRBAH",2021-11-24,51
"491","ACQRBAH",2021-12-01,47
"492","ACQRBAH",2021-12-05,145
"493","ACQRBAH",2021-12-05,145
"494","ACQRBAH",2021-12-10,144
"495","ACQRBAH",2021-12-10,143
"496","ACQRBAH",2021-12-14,138
"497","ACQRBAH",2021-12-14,136
"498","ACXRMSE",2021-01-01,94
"499","ACXRMSE",2021-01-02,92
"500","ACXRMSE",2021-01-06,90
"501","ACXRMSE",2021-01-06,84
"502","ACXRMSE",2021-01-07,78
"503","ACXRMSE",2021-01-08,76
"504","ACXRMSE",2021-01-12,73
"505","ACXRMSE",2021-01-15,71
"506","ACXRMSE",2021-01-16,69
"507","ACXRMSE",2021-01-27,67
"508","ACXRMSE",2021-01-28,67
"509","ACXRMSE",2021-01-29,67
"510","ACXRMSE",2021-01-31,67
"511","ACXRMSE",2021-02-01,64
"512","ACXRMSE",2021-02-01,64
"513","ACXRMSE",2021-02-04,63
"514","ACXRMSE",2021-02-10,62
"515","ACXRMSE",2021-02-15,60
"516","ACXRMSE",2021-02-15,58
"517","ACXRMSE",2021-02-16,56
"518","ACXRMSE",2021-02-17,56
"519","ACXRMSE",2021-02-19,54
"520","ACXRMSE",2021-02-22,53
"521","ACXRMSE",2021-02-24,51
"522","ACXRMSE",2021-02-27,50
"523","ACXRMSE",2021-03-03,48
"524","ACXRMSE",2021-03-07,147
"525","ACXRMSE",2021-03-07,144
"526","ACXRMSE",2021-03-08,141
"527","ACXRMSE",2021-03-10,139
"528","ACXRMSE",2021-03-17,139
"529","ACXRMSE",2021-03-20,137
"530","ACXRMSE",2021-03-23,136
"531","ACXRMSE",2021-03-26,133
"532","ACXRMSE",2021-03-31,133
"533","ACXRMSE",2021-04-12,132
"534","ACXRMSE",2021-04-17,131
"535","ACXRMSE",2021-04-22,130
"536","ACXRMSE",2021-04-23,128
"537","ACXRMSE",2021-04-26,126
"538","ACXRMSE",2021-04-30,123
"539","ACXRMSE",2021-05-04,120
"540","ACXRMSE",2021-05-05,119
"541","ACXRMSE",2021-05-06,118
"542","ACXRMSE",2021-05-06,116
"543","ACXRMSE",2021-05-11,116
"544","ACXRMSE",2021-05-11,115
"545","ACXRMSE",2021-05-18,110
"546","ACXRMSE",2021-05-20,104
"547","ACXRMSE",2021-05-24,102
"548","ACXRMSE",2021-06-01,100
"549","ACXRMSE",2021-06-05,98
"550","ACXRMSE",2021-06-06,93
"551","ACXRMSE",2021-06-08,91
"552","ACXRMSE",2021-06-13,88
"553","ACXRMSE",2021-06-15,83
"554","ACXRMSE",2021-06-15,76
"555","ACXRMSE",2021-06-26,74
"556","ACXRMSE",2021-06-30,72
"557","ACXRMSE",2021-06-30,71
"558","ACXRMSE",2021-07-07,70
"559","ACXRMSE",2021-07-14,70
"560","ACXRMSE",2021-07-19,68
"561","ACXRMSE",2021-07-25,67
"562","ACXRMSE",2021-07-28,65
"563","ACXRMSE",2021-08-01,62
"564","ACXRMSE",2021-08-02,61
"565","ACXRMSE",2021-08-07,59
"566","ACXRMSE",2021-08-07,58
"567","ACXRMSE",2021-08-08,56
"568","ACXRMSE",2021-08-11,54
"569","ACXRMSE",2021-08-14,51
"570","ACXRMSE",2021-08-23,47
"571","ACXRMSE",2021-09-04,144
"572","ACXRMSE",2021-09-08,140
"573","ACXRMSE",2021-09-15,138
"574","ACXRMSE",2021-09-15,138
"575","ACXRMSE",2021-09-17,136
"576","ACXRMSE",2021-09-21,134
"577","ACXRMSE",2021-09-25,132
"578","ACXRMSE",2021-09-29,131
"579","ACXRMSE",2021-10-07,131
"580","ACXRMSE",2021-10-18,131
"581","ACXRMSE",2021-10-19,129
"582","ACXRMSE",2021-10-25,127
"583","ACXRMSE",2021-11-03,126
"584","ACXRMSE",2021-11-05,123
"585","ACXRMSE",2021-11-16,122
"586","ACXRMSE",2021-11-25,121
"587","ACXRMSE",2021-11-27,119
"588","ACXRMSE",2021-11-27,116
"589","ACXRMSE",2021-12-01,114
"590","ACXRMSE",2021-12-01,112
"591","ACXRMSE",2021-12-02,108
"592","ACXRMSE",2021-12-12,107
"593","ACXRMSE",2021-12-12,105
"594","ACXRMSE",2021-12-17,104
"595","ACXRMSE",2021-12-17,102
"596","ACXRMSE",2021-12-20,102
"597","ACXRMSE",2021-12-22,101
"598","ADOSYIO",2021-01-01,88
"599","ADOSYIO",2021-01-04,87
"600","ADOSYIO",2021-01-16,85
"601","ADOSYIO",2021-01-18,82
"602","ADOSYIO",2021-01-21,82
"603","ADOSYIO",2021-01-22,80
"604","ADOSYIO",2021-01-22,76
"605","ADOSYIO",2021-01-24,75
"606","ADOSYIO",2021-01-28,75
"607","ADOSYIO",2021-01-30,75
"608","ADOSYIO",2021-01-30,75
"609","ADOSYIO",2021-02-04,74
"610","ADOSYIO",2021-02-08,69
"611","ADOSYIO",2021-02-16,67
"612","ADOSYIO",2021-02-21,67
"613","ADOSYIO",2021-02-22,62
"614","ADOSYIO",2021-02-23,62
"615","ADOSYIO",2021-02-23,59
"616","ADOSYIO",2021-02-23,59
"617","ADOSYIO",2021-03-08,56
"618","ADOSYIO",2021-03-09,53
"619","ADOSYIO",2021-03-14,52
"620","ADOSYIO",2021-03-19,49
"621","ADOSYIO",2021-03-27,146
"622","ADOSYIO",2021-04-02,143
"623","ADOSYIO",2021-04-03,140
"624","ADOSYIO",2021-04-05,140
"625","ADOSYIO",2021-04-07,137
"626","ADOSYIO",2021-04-13,132
"627","ADOSYIO",2021-04-16,132
"628","ADOSYIO",2021-04-23,130
"629","ADOSYIO",2021-04-23,129
"630","ADOSYIO",2021-04-25,129
"631","ADOSYIO",2021-04-29,127
"632","ADOSYIO",2021-05-01,125
"633","ADOSYIO",2021-05-09,124
"634","ADOSYIO",2021-05-09,118
"635","ADOSYIO",2021-05-10,116
"636","ADOSYIO",2021-05-19,111
"637","ADOSYIO",2021-05-24,108
"638","ADOSYIO",2021-05-27,105
"639","ADOSYIO",2021-06-02,102
"640","ADOSYIO",2021-06-09,101
"641","ADOSYIO",2021-06-19,100
"642","ADOSYIO",2021-06-26,100
"643","ADOSYIO",2021-06-27,96
"644","ADOSYIO",2021-06-27,97
"645","ADOSYIO",2021-07-01,95
"646","ADOSYIO",2021-07-09,92
"647","ADOSYIO",2021-07-09,92
"648","ADOSYIO",2021-07-12,92
"649","ADOSYIO",2021-07-15,90
"650","ADOSYIO",2021-07-18,90
"651","ADOSYIO",2021-07-24,90
"652","ADOSYIO",2021-07-26,87
"653","ADOSYIO",2021-07-31,85
"654","ADOSYIO",2021-08-03,83
"655","ADOSYIO",2021-08-05,81
"656","ADOSYIO",2021-08-08,78
"657","ADOSYIO",2021-08-12,76
"658","ADOSYIO",2021-08-13,71
"659","ADOSYIO",2021-08-14,68
"660","ADOSYIO",2021-08-26,66
"661","ADOSYIO",2021-08-28,65
"662","ADOSYIO",2021-08-29,64
"663","ADOSYIO",2021-08-30,61
"664","ADOSYIO",2021-09-03,61
"665","ADOSYIO",2021-09-04,61
"666","ADOSYIO",2021-09-09,58
"667","ADOSYIO",2021-09-14,58
"668","ADOSYIO",2021-09-14,58
"669","ADOSYIO",2021-09-17,55
"670","ADOSYIO",2021-09-19,53
"671","ADOSYIO",2021-09-20,49
"672","ADOSYIO",2021-09-29,148
"673","ADOSYIO",2021-10-05,146
"674","ADOSYIO",2021-10-05,145
"675","ADOSYIO",2021-10-12,143
"676","ADOSYIO",2021-10-13,141
"677","ADOSYIO",2021-10-16,140
"678","ADOSYIO",2021-10-16,139
"679","ADOSYIO",2021-10-16,138
"680","ADOSYIO",2021-10-18,136
"681","ADOSYIO",2021-10-20,134
"682","ADOSYIO",2021-10-29,131
"683","ADOSYIO",2021-11-03,129
"684","ADOSYIO",2021-11-08,127
"685","ADOSYIO",2021-11-11,122
"686","ADOSYIO",2021-11-12,120
"687","ADOSYIO",2021-11-14,117
"688","ADOSYIO",2021-11-20,113
"689","ADOSYIO",2021-11-22,113
"690","ADOSYIO",2021-11-23,111
"691","ADOSYIO",2021-11-24,106
"692","ADOSYIO",2021-11-28,103
"693","ADOSYIO",2021-12-01,101
"694","ADOSYIO",2021-12-06,99
"695","ADOSYIO",2021-12-09,96
"696","ADOSYIO",2021-12-13,95
"697","ADOSYIO",2021-12-14,95
