"","receiver_no","receiver_date","sku","unit_cost","received","po_no","po_date"
"94","rec00094",2021-03-06,"GXPRDLH",25,100,"p00094",2021-02-27
"95","rec00095",2021-03-12,"QFCFHCP",33,100,"p00095",2021-02-27
"96","rec00096",2021-03-05,"RIWCMEQ",24,100,"p00096",2021-02-27
"97","rec00097",2021-04-20,"KEGAYLX",27,100,"p00097",2021-02-28
"98","rec00098",2021-03-02,"SARYBPA",26,100,"p00098",2021-02-28
"99","rec00099",2021-03-04,"CHKBIFL",23,100,"p00099",2021-02-28
"100","rec00100",2021-03-09,"DKHDSFJ",30,100,"p00100",2021-02-28
"101","rec00101",2021-03-04,"PCIQYVA",34,100,"p00101",2021-02-28
"102","rec00102",2021-03-11,"FCGLFWA",19,100,"p00102",2021-03-01
"103","rec00103",2021-03-16,"ETMXEKN",30,100,"p00103",2021-03-01
"104","rec00104",2021-03-07,"HQUVZEJ",35,100,"p00104",2021-03-01
"105","rec00105",2021-03-01,"VKXJOXA",28,100,"p00105",2021-03-01
"106","rec00106",2021-03-14,"UJWWEOV",36,100,"p00106",2021-03-01
"107","rec00107",2021-03-14,"NEGIGAL",27,100,"p00107",2021-03-01
"108","rec00108",2021-03-14,"PACBZDC",27,100,"p00108",2021-03-01
"109","rec00109",2021-03-13,"FFTGBWM",23,100,"p00109",2021-03-01
"110","rec00110",2021-03-22,"EAYSXBJ",37,100,"p00110",2021-03-02
"111","rec00111",2021-03-16,"CAUKAWF",24,100,"p00111",2021-03-02
"112","rec00112",2021-03-07,"BKSBMYF",30,100,"p00112",2021-03-02
"113","rec00113",2021-05-05,"KCLOMUE",35,100,"p00113",2021-03-02
"114","rec00114",2021-03-19,"DDFGJXI",28,100,"p00114",2021-03-03
"115","rec00115",2021-03-07,"UCAGHHN",33,100,"p00115",2021-03-03
"116","rec00116",2021-03-25,"QHLCGDQ",32,100,"p00116",2021-03-03
"117","rec00117",2021-04-09,"NTSXPWQ",31,100,"p00117",2021-03-03
"118","rec00118",2021-03-18,"QVTPKNI",18,100,"p00118",2021-03-03
"119","rec00119",2021-03-05,"VGYGOLP",29,100,"p00119",2021-03-03
"120","rec00120",2021-03-15,"CMWWCGG",27,100,"p00120",2021-03-03
"121","rec00121",2021-03-20,"FDCZBKW",32,100,"p00121",2021-03-03
"122","rec00122",2021-03-05,"LQXTBPT",33,100,"p00122",2021-03-03
"123","rec00123",2021-03-03,"KLCEZWA",33,100,"p00123",2021-03-03
"124","rec00124",2021-03-19,"MTZODDC",31,100,"p00124",2021-03-03
"125","rec00125",2021-03-08,"ACXRMSE",29,100,"p00125",2021-03-03
"126","rec00126",2021-03-16,"NKZFWFQ",31,100,"p00126",2021-03-03
"127","rec00127",2021-03-22,"EMLLQRV",28,100,"p00127",2021-03-03
"128","rec00128",2021-03-06,"KCYZSOM",30,100,"p00128",2021-03-04
"129","rec00129",2021-03-11,"HNZJPIU",32,100,"p00129",2021-03-04
"130","rec00130",2021-04-02,"FMSQQSJ",24,100,"p00130",2021-03-04
"131","rec00131",2021-03-21,"MEMFKFK",23,100,"p00131",2021-03-04
"132","rec00132",2021-03-16,"MUDTEMC",27,100,"p00132",2021-03-04
"133","rec00133",2021-03-27,"NSFAATW",25,100,"p00133",2021-03-04
"134","rec00134",2021-03-25,"TNGDHJP",44,100,"p00134",2021-03-04
"135","rec00135",2021-03-05,"NKYFQFQ",19,100,"p00135",2021-03-04
"136","rec00136",2021-04-08,"HGUTUBT",29,100,"p00136",2021-03-04
"137","rec00137",2021-03-07,"IOWZHNT",36,100,"p00137",2021-03-05
"138","rec00138",2021-03-06,"PNJLBGS",31,100,"p00138",2021-03-05
"139","rec00139",2021-03-09,"FCSGCTT",26,100,"p00139",2021-03-05
"140","rec00140",2021-03-17,"YADKWWI",20,100,"p00140",2021-03-05
"141","rec00141",2021-03-10,"AJKORUO",30,100,"p00141",2021-03-06
"142","rec00142",2021-03-22,"HYDZHHX",19,100,"p00142",2021-03-06
"143","rec00143",2021-04-11,"YXIUTSP",33,100,"p00143",2021-03-06
"144","rec00144",2021-03-22,"SQSGJKE",40,100,"p00144",2021-03-06
"145","rec00145",2021-03-24,"NVAGCBN",27,100,"p00145",2021-03-06
"146","rec00146",2021-03-11,"JPLILCW",24,100,"p00146",2021-03-06
"147","rec00147",2021-03-10,"ZJIDQTG",29,100,"p00147",2021-03-06
"148","rec00148",2021-03-24,"KIVAAKN",27,100,"p00148",2021-03-06
"149","rec00149",2021-03-12,"ROTJPDH",30,100,"p00149",2021-03-06
"150","rec00150",2021-03-14,"BDVQXSF",42,100,"p00150",2021-03-07
"151","rec00151",2021-03-15,"IMMLUJJ",31,100,"p00151",2021-03-07
"152","rec00152",2021-03-12,"YTEAFJC",25,100,"p00152",2021-03-07
"153","rec00153",2021-03-21,"DTUWRLA",29,100,"p00153",2021-03-08
"154","rec00154",2021-03-19,"WVSHLRI",36,100,"p00154",2021-03-08
"155","rec00155",2021-04-17,"UVIRWZC",30,100,"p00155",2021-03-08
"156","rec00156",2021-04-15,"XWRSXHK",35,100,"p00156",2021-03-08
"157","rec00157",2021-03-21,"OMSXKPH",25,100,"p00157",2021-03-08
"158","rec00158",2021-03-24,"KVRTWFJ",30,100,"p00158",2021-03-08
"159","rec00159",2021-03-11,"AQWFHRW",34,100,"p00159",2021-03-09
"160","rec00160",2021-03-13,"NDFNKYB",24,100,"p00160",2021-03-09
"161","rec00161",2021-04-04,"FOWPCBN",34,100,"p00161",2021-03-09
"162","rec00162",2021-03-22,"BGDWUIJ",35,100,"p00162",2021-03-09
"163","rec00163",2021-04-07,"DKSFRAH",40,100,"p00163",2021-03-09
"164","rec00164",2021-03-12,"PARIMCC",25,100,"p00164",2021-03-09
"165","rec00165",2021-03-09,"TWSIBSU",43,100,"p00165",2021-03-09
"166","rec00166",2021-03-12,"ACNQHRE",27,100,"p00166",2021-03-10
"167","rec00167",2021-03-18,"DLIDRJO",36,100,"p00167",2021-03-10
"168","rec00168",2021-04-06,"PCNNLXK",21,100,"p00168",2021-03-10
"169","rec00169",2021-03-22,"UBQIHGU",31,100,"p00169",2021-03-10
"170","rec00170",2021-03-26,"JYUIKCU",31,100,"p00170",2021-03-10
"171","rec00171",2021-03-20,"NIBELCO",25,100,"p00171",2021-03-10
"172","rec00172",2021-05-10,"YRCHVMJ",26,100,"p00172",2021-03-11
"173","rec00173",2021-03-15,"SLOJNZH",25,100,"p00173",2021-03-11
"174","rec00174",2021-03-16,"PXVVWZZ",23,100,"p00174",2021-03-11
"175","rec00175",2021-03-25,"TOVKPDX",32,100,"p00175",2021-03-11
"176","rec00176",2021-04-03,"XVFHYMW",34,100,"p00176",2021-03-11
"177","rec00177",2021-03-15,"ZOWEBTG",32,100,"p00177",2021-03-11
"178","rec00178",2021-03-13,"REIICRG",38,100,"p00178",2021-03-11
"179","rec00179",2021-03-22,"VDXSZXM",26,100,"p00179",2021-03-11
"180","rec00180",2021-03-22,"YRLPJEU",33,100,"p00180",2021-03-11
"181","rec00181",2021-04-07,"LCRDOWM",22,100,"p00181",2021-03-11
"182","rec00182",2021-03-29,"FYICYTJ",27,100,"p00182",2021-03-11
"183","rec00183",2021-03-21,"QUJTJNL",44,100,"p00183",2021-03-11
"184","rec00184",2021-03-24,"WFLLQKF",24,100,"p00184",2021-03-11
"185","rec00185",2021-03-16,"DXXKKWE",29,100,"p00185",2021-03-11
"186","rec00186",2021-04-29,"MSGVMAQ",31,100,"p00186",2021-03-12
"187","rec00187",2021-03-15,"VPVQLMA",33,100,"p00187",2021-03-12
"188","rec00188",2021-03-16,"RTCJBOE",31,100,"p00188",2021-03-12
"189","rec00189",2021-03-24,"FMEOJSB",30,100,"p00189",2021-03-12
"190","rec00190",2021-04-01,"MWDUTZC",32,100,"p00190",2021-03-12
"191","rec00191",2021-03-15,"QHPAWDT",34,100,"p00191",2021-03-12
"192","rec00192",2021-03-21,"AYCAFJC",30,100,"p00192",2021-03-12
"193","rec00193",2021-03-22,"CWNGGXE",32,100,"p00193",2021-03-12
"194","rec00194",2021-03-14,"VXEFQOX",28,100,"p00194",2021-03-13
"195","rec00195",2021-03-16,"RAROIEH",43,100,"p00195",2021-03-13
"196","rec00196",2021-03-17,"AAFPBGX",39,100,"p00196",2021-03-13
"197","rec00197",2021-03-24,"ITEEXNA",34,100,"p00197",2021-03-13
"198","rec00198",2021-03-21,"UCFFTQU",29,100,"p00198",2021-03-13
"199","rec00199",2021-04-14,"GCKAJOG",23,100,"p00199",2021-03-13
"200","rec00200",2021-03-21,"PBMNYBN",40,100,"p00200",2021-03-13
"201","rec00201",2021-03-29,"GXBLFDO",19,100,"p00201",2021-03-13
"202","rec00202",2021-04-06,"AKFLLOG",34,100,"p00202",2021-03-13
"203","rec00203",2021-04-08,"VAAYGVB",28,100,"p00203",2021-03-13
"204","rec00204",2021-04-14,"YLHGYSU",24,100,"p00204",2021-03-13
"205","rec00205",2021-04-01,"RJONYJZ",25,100,"p00205",2021-03-13
"206","rec00206",2021-03-18,"PRWHNRV",30,100,"p00206",2021-03-13
"207","rec00207",2021-03-14,"CSEYOLP",32,100,"p00207",2021-03-13
"208","rec00208",2021-03-24,"BIGWTBG",28,100,"p00208",2021-03-13
"209","rec00209",2021-04-03,"MCPGEPL",28,100,"p00209",2021-03-13
"210","rec00210",2021-03-18,"EXNJUVB",25,100,"p00210",2021-03-13
"211","rec00211",2021-03-23,"NZHCUBQ",26,100,"p00211",2021-03-13
"212","rec00212",2021-03-16,"VBQSFHI",25,100,"p00212",2021-03-13
"213","rec00213",2021-03-19,"CDFGTPX",33,100,"p00213",2021-03-13
"214","rec00214",2021-03-20,"ASIJADV",30,100,"p00214",2021-03-14
"215","rec00215",2021-03-27,"EGHJPVM",28,100,"p00215",2021-03-14
"216","rec00216",2021-03-23,"UNKOVEA",26,100,"p00216",2021-03-14
"217","rec00217",2021-03-29,"ULBNCRK",31,100,"p00217",2021-03-14
"218","rec00218",2021-03-22,"TTWUZUZ",37,100,"p00218",2021-03-14
"219","rec00219",2021-04-09,"VCQHODG",33,100,"p00219",2021-03-14
"220","rec00220",2021-05-01,"XXXYCPE",28,100,"p00220",2021-03-15
"221","rec00221",2021-04-04,"DYQTXDW",28,100,"p00221",2021-03-15
"222","rec00222",2021-05-02,"LCZIXUY",30,100,"p00222",2021-03-15
"223","rec00223",2021-03-21,"TKJLTHQ",26,100,"p00223",2021-03-15
"224","rec00224",2021-04-10,"AXSQMGX",25,100,"p00224",2021-03-15
"225","rec00225",2021-04-08,"VWEVOEC",29,100,"p00225",2021-03-15
"226","rec00226",2021-05-26,"YZYZBCK",24,100,"p00226",2021-03-15
"227","rec00227",2021-03-17,"QAEKVBK",32,100,"p00227",2021-03-15
"228","rec00228",2021-04-01,"YRAFUEC",21,100,"p00228",2021-03-15
"229","rec00229",2021-03-27,"SMPLBAD",24,100,"p00229",2021-03-16
"230","rec00230",2021-04-11,"OYFMIFZ",47,100,"p00230",2021-03-16
"231","rec00231",2021-03-17,"JVLQBCP",26,100,"p00231",2021-03-16
"232","rec00232",2021-03-27,"NWWCCNR",28,100,"p00232",2021-03-16
"233","rec00233",2021-03-28,"NVJMQZA",37,100,"p00233",2021-03-16
"234","rec00234",2021-03-29,"ZJLPOQY",33,100,"p00234",2021-03-16
"235","rec00235",2021-04-18,"HSAFBZR",25,100,"p00235",2021-03-16
"236","rec00236",2021-03-21,"RSFRTNX",25,100,"p00236",2021-03-16
"237","rec00237",2021-04-11,"EKMTDVB",29,100,"p00237",2021-03-16
"238","rec00238",2021-03-23,"HFXZFIE",33,100,"p00238",2021-03-16
"239","rec00239",2021-03-18,"BLXWDOX",42,100,"p00239",2021-03-16
"240","rec00240",2021-04-09,"BKSMRRP",27,100,"p00240",2021-03-16
"241","rec00241",2021-04-10,"XCNFMAY",29,100,"p00241",2021-03-17
"242","rec00242",2021-03-23,"HWSYXJF",41,100,"p00242",2021-03-17
"243","rec00243",2021-03-22,"QAAFSNA",22,100,"p00243",2021-03-17
"244","rec00244",2021-03-20,"ZHVHQQY",30,100,"p00244",2021-03-17
"245","rec00245",2021-03-25,"MDWFIHZ",21,100,"p00245",2021-03-17
"246","rec00246",2021-04-18,"FFUTXPP",27,100,"p00246",2021-03-17
"247","rec00247",2021-03-22,"KEQMBQX",28,100,"p00247",2021-03-17
"248","rec00248",2021-03-26,"DBSJXQC",25,100,"p00248",2021-03-17
"249","rec00249",2021-04-03,"QJSPMCX",33,100,"p00249",2021-03-17
"250","rec00250",2021-03-24,"LAETZFO",29,100,"p00250",2021-03-18
"251","rec00251",2021-03-22,"LEEXFLN",22,100,"p00251",2021-03-18
"252","rec00252",2021-04-08,"WKZLBWC",34,100,"p00252",2021-03-18
"253","rec00253",2021-03-29,"XZNVYNB",23,100,"p00253",2021-03-18
"254","rec00254",2021-04-01,"GSPSUYF",17,100,"p00254",2021-03-18
"255","rec00255",2021-04-12,"FSNZUZG",26,100,"p00255",2021-03-18
"256","rec00256",2021-03-19,"YQFIDDC",30,100,"p00256",2021-03-18
"257","rec00257",2021-04-02,"NJFSIRL",27,100,"p00257",2021-03-18
"258","rec00258",2021-04-11,"PCCJXQQ",33,100,"p00258",2021-03-18
"259","rec00259",2021-04-16,"KIWCKNW",29,100,"p00259",2021-03-18
"260","rec00260",2021-03-23,"NGUWLYY",30,100,"p00260",2021-03-18
"261","rec00261",2021-03-20,"JRFOCFG",39,100,"p00261",2021-03-18
"262","rec00262",2021-03-22,"RZNISKM",29,100,"p00262",2021-03-18
"263","rec00263",2021-04-06,"HRVYLQI",35,100,"p00263",2021-03-18
"264","rec00264",2021-03-26,"SBYNXRT",34,100,"p00264",2021-03-19
"265","rec00265",2021-04-03,"XJEAIAO",38,100,"p00265",2021-03-19
"266","rec00266",2021-03-24,"GQKKFTP",34,100,"p00266",2021-03-19
"267","rec00267",2021-03-28,"QECCKKT",38,100,"p00267",2021-03-19
"268","rec00268",2021-03-20,"OPMOTZM",25,100,"p00268",2021-03-19
"269","rec00269",2021-04-02,"JXLWPFU",30,100,"p00269",2021-03-19
"270","rec00270",2021-04-10,"MGLEMNS",25,100,"p00270",2021-03-19
"271","rec00271",2021-04-29,"CQWSBHP",38,100,"p00271",2021-03-19
"272","rec00272",2021-03-27,"FOWFQEX",25,100,"p00272",2021-03-19
"273","rec00273",2021-04-13,"ADOSYIO",30,100,"p00273",2021-03-19
"274","rec00274",2021-03-26,"BPQUSMP",26,100,"p00274",2021-03-19
"275","rec00275",2021-05-01,"ZFWFGIX",34,100,"p00275",2021-03-19
"276","rec00276",2021-06-03,"AIZQJBO",28,100,"p00276",2021-03-19
"277","rec00277",2021-05-16,"LJICNCJ",35,100,"p00277",2021-03-19
"278","rec00278",2021-03-20,"GQPUWVY",25,100,"p00278",2021-03-20
"279","rec00279",2021-03-22,"SRGDJGI",34,100,"p00279",2021-03-20
"280","rec00280",2021-04-24,"YOADBFB",28,100,"p00280",2021-03-20
"281","rec00281",2021-04-16,"XELPZEN",28,100,"p00281",2021-03-20
"282","rec00282",2021-04-27,"MUGIRQP",29,100,"p00282",2021-03-20
"283","rec00283",2021-03-30,"VWMGSTZ",31,100,"p00283",2021-03-20
"284","rec00284",2021-03-21,"SGNBWQN",39,100,"p00284",2021-03-20
"285","rec00285",2021-04-07,"KHETMVQ",38,100,"p00285",2021-03-20
"286","rec00286",2021-03-26,"OCQCTNJ",35,100,"p00286",2021-03-20
"287","rec00287",2021-04-07,"MSOOMOE",24,100,"p00287",2021-03-20
"288","rec00288",2021-04-01,"TMZJUAB",34,100,"p00288",2021-03-20
"289","rec00289",2021-04-14,"AUPYPKB",25,100,"p00289",2021-03-20
"290","rec00290",2021-03-24,"YIYWLBC",36,100,"p00290",2021-03-20
"291","rec00291",2021-04-25,"FKZURXB",28,100,"p00291",2021-03-20
"292","rec00292",2021-04-03,"RRNOCYR",26,100,"p00292",2021-03-20
"293","rec00293",2021-03-25,"BXZWUDX",39,100,"p00293",2021-03-20
"294","rec00294",2021-03-22,"SBIRYAF",31,100,"p00294",2021-03-20
"295","rec00295",2021-04-16,"EKSHFFF",33,100,"p00295",2021-03-20
"296","rec00296",2021-04-05,"LXDYWBP",36,100,"p00296",2021-03-21
"297","rec00297",2021-03-28,"CNXUPSP",33,100,"p00297",2021-03-21
"298","rec00298",2021-04-10,"XFYDYRL",28,100,"p00298",2021-03-21
"299","rec00299",2021-04-06,"VXAAYIW",33,100,"p00299",2021-03-21
"300","rec00300",2021-03-21,"EXWXLCR",30,100,"p00300",2021-03-21
"301","rec00301",2021-03-31,"MVAARYR",29,100,"p00301",2021-03-21
"302","rec00302",2021-04-14,"KGOLEPF",34,100,"p00302",2021-03-21
"303","rec00303",2021-04-18,"NFITPMM",27,100,"p00303",2021-03-21
"304","rec00304",2021-03-25,"SQEWGMD",40,100,"p00304",2021-03-21
"305","rec00305",2021-05-06,"TFWKJKO",30,100,"p00305",2021-03-21
"306","rec00306",2021-04-01,"RQEFXCH",28,100,"p00306",2021-03-21
"307","rec00307",2021-03-29,"ZXOYLMM",31,100,"p00307",2021-03-21
"308","rec00308",2021-05-12,"CCEXJHP",29,100,"p00308",2021-03-22
"309","rec00309",2021-03-25,"VVUTCFP",28,100,"p00309",2021-03-22
"310","rec00310",2021-04-08,"WYEDXHX",38,100,"p00310",2021-03-22
"311","rec00311",2021-04-07,"RPXIJOC",40,100,"p00311",2021-03-22
"312","rec00312",2021-03-26,"DHELEND",29,100,"p00312",2021-03-22
"313","rec00313",2021-03-28,"YYZGYXC",32,100,"p00313",2021-03-22
"314","rec00314",2021-04-11,"XPMQRLT",26,100,"p00314",2021-03-22
"315","rec00315",2021-03-23,"JRMTIMN",33,100,"p00315",2021-03-22
"316","rec00316",2021-04-05,"QQIYZNA",31,100,"p00316",2021-03-22
"317","rec00317",2021-03-26,"DTGVDPA",41,100,"p00317",2021-03-22
"318","rec00318",2021-04-12,"RVWHPYH",22,100,"p00318",2021-03-22
"319","rec00319",2021-03-24,"TOHGWKJ",20,100,"p00319",2021-03-22
"320","rec00320",2021-05-06,"UUHIVKA",31,100,"p00320",2021-03-22
"321","rec00321",2021-05-03,"ZQRKKBY",34,100,"p00321",2021-03-22
"322","rec00322",2021-04-04,"WKYTFIQ",28,100,"p00322",2021-03-22
"323","rec00323",2021-03-25,"UOJRXQI",25,100,"p00323",2021-03-22
"324","rec00324",2021-03-23,"CQYLUDX",30,100,"p00324",2021-03-23
"325","rec00325",2021-04-19,"JVCHWYQ",21,100,"p00325",2021-03-23
"326","rec00326",2021-03-29,"YHASPVN",31,100,"p00326",2021-03-23
"327","rec00327",2021-03-27,"LAFECHF",28,100,"p00327",2021-03-23
"328","rec00328",2021-04-01,"OSHEUNF",37,100,"p00328",2021-03-23
"329","rec00329",2021-04-08,"TCJZEZH",22,100,"p00329",2021-03-23
"330","rec00330",2021-03-24,"QGURYVS",38,100,"p00330",2021-03-23
"331","rec00331",2021-04-09,"FOLPBVP",30,100,"p00331",2021-03-23
"332","rec00332",2021-04-06,"EAWPQWC",25,100,"p00332",2021-03-23
"333","rec00333",2021-03-24,"JEKNFSP",23,100,"p00333",2021-03-23
"334","rec00334",2021-03-28,"HWHNRLM",34,100,"p00334",2021-03-23
"335","rec00335",2021-04-11,"ADTRJIC",35,100,"p00335",2021-03-23
"336","rec00336",2021-04-11,"KFFPQHJ",23,100,"p00336",2021-03-23
"337","rec00337",2021-04-15,"CKRSVPS",40,100,"p00337",2021-03-23
"338","rec00338",2021-03-29,"RJVMNUA",30,100,"p00338",2021-03-23
"339","rec00339",2021-04-09,"KHZEJIK",27,100,"p00339",2021-03-23
"340","rec00340",2021-05-04,"IRULFJS",32,100,"p00340",2021-03-24
"341","rec00341",2021-03-31,"XWIVBQC",28,100,"p00341",2021-03-24
"342","rec00342",2021-04-04,"RZFLQYR",30,100,"p00342",2021-03-24
"343","rec00343",2021-04-18,"LUZQZTB",34,100,"p00343",2021-03-24
"344","rec00344",2021-03-24,"CHPUIXH",29,100,"p00344",2021-03-24
"345","rec00345",2021-03-29,"OZVFQYT",28,100,"p00345",2021-03-24
"346","rec00346",2021-04-03,"YKSHAPY",33,100,"p00346",2021-03-24
"347","rec00347",2021-03-29,"CVTAJDH",34,100,"p00347",2021-03-24
"348","rec00348",2021-03-26,"LAHDFVE",21,100,"p00348",2021-03-24
