"no","customer_no","invoice_no","amount","shipper_no","shipper_date"
"21555","c00825","i21379",372,"s22733",2021-04-04
"21714","c00929","i21846",136,"s20405",2021-03-26
"21788","c00644","i21676",120,"s21963",2021-04-01
"21855","c00985","i21843",93,"s26532",2021-04-18
"22113","c00312","i22005",0,"s24338",2021-04-10
"22192","c00816","i22243",360,"s19954",2021-03-24
"22533","c00608","i22675",125,"s21266",2021-03-29
"22676","c00349","i22534",216,"s30878",2021-05-04
"23199","c00919","i23062",174,"s26789",2021-04-19
"23389","c00886","i23277",0,"s23310",2021-04-06
"23482","c00577","i23274",408,"s33089",2021-05-12
"23633","c00211","i23609",192,"s22813",2021-04-04
"23634","c00492","i23717",0,"s22814",2021-04-04
"23708","c00385","i23745",64,"s24627",2021-04-11
"23878","c00702","i23778",99,"s22337",2021-04-02
"24053","c00358","i24270",136,"s21619",2021-03-30
"24206","c00096","i24105",128,"s23612",2021-04-07
"24215","c00552","i24056",87,"s23846",2021-04-08
"24345","c00734","i24486",180,"s22139",2021-04-01
"24383","c00040","i24447",0,"s22604",2021-04-03
"24460","c00195","i24344",396,"s23629",2021-04-07
"24572","c00123","i24438",216,"s30047",2021-05-01
"24662","c00426","i24727",420,"s22879",2021-04-04
"24749","c00038","i24874",468,"s24127",2021-04-09
"25261","c01000","i25173",0,"s23904",2021-04-08
"25276","c00527","i25180",0,"s24161",2021-04-09
"25302","c00077","i25202",240,"s24935",2021-04-12
"25374","c00047","i25215",224,"s27375",2021-04-21
"25389","c00081","i25366",0,"s28444",2021-04-25
"25402","c00184","i25389",272,"s30056",2021-05-01
"25540","c00991","i25608",93,"s24182",2021-04-09
"25555","c00304","i25616",0,"s24436",2021-04-10
"25613","c00545","i25680",180,"s26036",2021-04-16
"25731","c00375","i25723",162,"s23715",2021-04-07
"25804","c00795","i25906",186,"s24712",2021-04-11
"25855","c00462","i25815",24,"s26045",2021-04-16
"25922","c00656","i25887",62,"s33384",2021-05-13
"25943","c00644","i26092",400,"s23475",2021-04-06
"26057","c00521","i25981",0,"s24990",2021-04-12
"26058","c00102","i26109",150,"s24991",2021-04-12
"26182","c00700","i25963",204,"s30066",2021-05-01
"26286","c00020","i26396",456,"s24488",2021-04-10
"26287","c00026","i26217",396,"s24489",2021-04-10
"26309","c00452","i26331",256,"s24747",2021-04-11
"26447","c00947","i26422",180,"s29750",2021-04-30
"26639","c00048","i26580",78,"s26846",2021-04-19
"26658","c00949","i26573",324,"s27946",2021-04-23
"26674","c00028","i26499",124,"s28737",2021-04-26
"26829","c00148","i26974",0,"s25574",2021-04-14
"26909","c00549","i26954",232,"s27129",2021-04-20
"26939","c00933","i26815",72,"s28219",2021-04-24
"27061","c00776","i27053",96,"s25081",2021-04-12
"27062","c00208","i27001",252,"s25082",2021-04-12
"27248","c00982","i27213",25,"s29481",2021-04-29
"27408","c00508","i27429",0,"s25869",2021-04-15
"27551","c00954","i27428",124,"s33666",2021-05-14
"27803","c00213","i27612",54,"s35597",2021-05-21
"28058","c00120","i28073",435,"s29500",2021-04-29
"28067","c00174","i27958",352,"s29776",2021-04-30
"28127","c00317","i28240",138,"s25686",2021-04-14
"28217","c00859","i28260",90,"s26688",2021-04-18
"28239","c00876","i28135",408,"s26926",2021-04-19
"28267","c00255","i28223",112,"s27462",2021-04-21
"28290","c00173","i28256",312,"s27998",2021-04-23
"28291","c00944","i28127",132,"s27999",2021-04-23
"28315","c00747","i28311",324,"s28518",2021-04-25
"28446","c00601","i28563",420,"s26206",2021-04-16
"28601","c00495","i28508",248,"s29515",2021-04-29
"28614","c00406","i28626",112,"s30360",2021-05-02
"28662","c00898","i28778",198,"s26221",2021-04-16
"28769","c00063","i28681",33,"s27497",2021-04-21
"28789","c00533","i28720",232,"s27764",2021-04-22
"28950","c00257","i29155",192,"s26515",2021-04-17
"29076","c00642","i28962",120,"s28292",2021-04-24
"29090","c00191","i29178",68,"s28801",2021-04-26
"29098","c00736","i29047",76,"s29039",2021-04-27
"29117","c00188","i29153",116,"s29530",2021-04-29
"29217","c00987","i29383",74,"s26764",2021-04-18
"29300","c00441","i29437",140,"s27798",2021-04-22
"29747","c00847","i29806",345,"s27311",2021-04-20
"29748","c00778","i29920",132,"s27312",2021-04-20
"30004","c00654","i29762",0,"s36433",2021-05-24
"30106","c00826","i30136",240,"s28604",2021-04-25
"30347","c00317","i30544",180,"s28622",2021-04-25
"30348","c00168","i30351",288,"s28623",2021-04-25
"30358","c00998","i30390",112,"s28868",2021-04-26
"30490","c00258","i30376",264,"s31734",2021-05-07
"30491","c00733","i30477",0,"s31735",2021-05-07
"30547","c00295","i30284",72,"s39700",2021-06-05
"30587","c00604","i30651",198,"s28390",2021-04-24
"30721","c00441","i30610",108,"s30165",2021-05-01
"30776","c00424","i30571",0,"s32001",2021-05-08
"30968","c00304","i31011",243,"s29612",2021-04-29
"31179","c00320","i31302",248,"s29176",2021-04-27
"31274","c00097","i31170",0,"s30719",2021-05-03
"31351","c00606","i31313",60,"s33705",2021-05-14
"31439","c00454","i31499",124,"s29414",2021-04-28
"31486","c00869","i31463",243,"s29943",2021-04-30
"31507","c00004","i31453",0,"s30217",2021-05-01
"31654","c00041","i31409",651,"s35057",2021-05-19
"31712","c00099","i31785",198,"s29435",2021-04-28
"31927","c00653","i31701",104,"s35064",2021-05-19
"32009","c00500","i32243",360,"s29705",2021-04-29
"32041","c00211","i32201",144,"s29995",2021-04-30
"32081","c00716","i32067",87,"s30501",2021-05-02
"32126","c00525","i32184",108,"s31282",2021-05-05
"32145","c00912","i32088",228,"s31780",2021-05-07
"32210","c00732","i32056",87,"s34002",2021-05-15
"32226","c00452","i32134",216,"s34807",2021-05-18
"32272","c00022","i32424",56,"s29717",2021-04-29
"32345","c00705","i32470",190,"s30525",2021-05-02
"32403","c00087","i32468",92,"s31792",2021-05-07
"32416","c00589","i32307",180,"s32060",2021-05-08
"32461","c00431","i32403",204,"s33729",2021-05-14
"32494","c00385","i32276",116,"s35343",2021-05-20
"32514","c00719","i32306",312,"s37027",2021-05-26
"32549","c00126","i32586",198,"s30032",2021-04-30
"32595","c00607","i32795",128,"s30545",2021-05-02
"32660","c00582","i32635",324,"s31552",2021-05-06
"32921","c00499","i33009",29,"s31323",2021-05-05
"32948","c00474","i32924",96,"s31822",2021-05-07
"32979","c00867","i32945",104,"s32343",2021-05-09
"33065","c00244","i33060",0,"s35349",2021-05-20
"33466","c00372","i33417",272,"s31604",2021-05-06
"33540","c00831","i33462",144,"s32647",2021-05-10
"33619","c00532","i33510",270,"s35639",2021-05-21
"33642","c00744","i33429",186,"s37798",2021-05-29
"33712","c00190","i33749",54,"s31396",2021-05-05
"33732","c00730","i33894",0,"s31624",2021-05-06
"33753","c00785","i33844",44,"s31881",2021-05-07
"33853","c00742","i33796",465,"s34049",2021-05-15
"33886","c00423","i33694",544,"s35101",2021-05-19
"33924","c00411","i33698",72,"s37552",2021-05-28
"34000","c00753","i34222",630,"s31909",2021-05-07
"34022","c00644","i34214",0,"s32144",2021-05-08
"34049","c00242","i34192",150,"s32411",2021-05-09
"34050","c00533","i34015",360,"s32412",2021-05-09
"34066","c00646","i34019",150,"s32680",2021-05-10
"34208","c00829","i34145",112,"s37293",2021-05-27
"34331","c00096","i34270",68,"s32436",2021-05-09
"34465","c00379","i34349",168,"s35371",2021-05-20
"34476","c00336","i34337",44,"s35927",2021-05-22
"34481","c00229","i34496",150,"s36206",2021-05-23
"34536","c00233","i34467",102,"s46833",2021-07-01
"34613","c00205","i34619",96,"s32729",2021-05-10
"34650","c00558","i34758",330,"s33271",2021-05-12
"34678","c00409","i34647",56,"s34076",2021-05-15
"34691","c00302","i34679",102,"s34332",2021-05-16
"34744","c00514","i34721",297,"s36478",2021-05-24
"34786","c00559","i34772",124,"s39712",2021-06-05
"34836","c00993","i35012",0,"s32477",2021-05-09
"34837","c00769","i35019",150,"s32478",2021-05-09
"34930","c00220","i35013",248,"s33814",2021-05-14
"35044","c00211","i35002",288,"s40234",2021-06-07
"35046","c00512","i35050",99,"s40498",2021-06-08
"35239","c00589","i35198",128,"s34873",2021-05-18
"35257","c00630","i35149",150,"s35141",2021-05-19
"35262","c00702","i35124",270,"s35392",2021-05-20
"35415","c00459","i35438",108,"s33335",2021-05-12
"35416","c00359","i35401",144,"s33336",2021-05-12
"35454","c00179","i35569",0,"s33848",2021-05-14
"35455","c00788","i35439",414,"s33849",2021-05-14
"35466","c00916","i35436",240,"s34113",2021-05-15
"35561","c00819","i35454",48,"s36797",2021-05-25
"35603","c00850","i35615",90,"s40239",2021-06-07
"35686","c00277","i35731",144,"s33614",2021-05-13
"35687","c00257","i35880",128,"s33615",2021-05-13
"35737","c00386","i35675",250,"s34385",2021-05-16
"35756","c00974","i35781",0,"s34642",2021-05-17
"35776","c00596","i35892",132,"s35163",2021-05-19
"35930","c00168","i36020",336,"s33639",2021-05-13
"35998","c00019","i36087",56,"s34406",2021-05-16
"36128","c00124","i36086",0,"s37836",2021-05-29
"36293","c00673","i36192",225,"s34681",2021-05-17
"36294","c00010","i36248",124,"s34682",2021-05-17
"36312","c00531","i36435",87,"s34924",2021-05-18
"36313","c00006","i36191",84,"s34925",2021-05-18
"36325","c00851","i36349",112,"s35190",2021-05-19
"36357","c00399","i36406",37,"s35986",2021-05-22
"36380","c00177","i36293",112,"s36821",2021-05-25
"36516","c00617","i36575",100,"s34451",2021-05-16
"36618","c00157","i36625",468,"s35995",2021-05-22
"36720","c00315","i36466",0,"s40002",2021-06-06
"36736","c00664","i36453",150,"s45151",2021-06-25
"36752","c00883","i36944",148,"s34208",2021-05-15
"36860","c00070","i36959",0,"s35488",2021-05-20
"36896","c00514","i36933",116,"s36011",2021-05-22
"36897","c00077","i36885",132,"s36012",2021-05-22
"37126","c00394","i37161",99,"s35773",2021-05-21
"37127","c00453","i37268",78,"s35774",2021-05-21
"37141","c00539","i37211",132,"s36026",2021-05-22
"37241","c00193","i37061",54,"s39489",2021-06-04
"37343","c00260","i37468",184,"s35268",2021-05-19
"37362","c00818","i37289",285,"s35526",2021-05-20
"37381","c00317","i37446",192,"s35793",2021-05-21
"37434","c00210","i37349",56,"s36580",2021-05-24
"37465","c00116","i37384",105,"s37361",2021-05-27
"37503","c00827","i37286",369,"s39221",2021-06-03
"37504","c00027","i37368",52,"s39222",2021-06-03
"37586","c00991","i37750",464,"s35295",2021-05-19
"37622","c00627","i37581",66,"s35812",2021-05-21
"37640","c00957","i37706",154,"s36064",2021-05-22
"37725","c00120","i37562",120,"s37883",2021-05-29
"37762","c00508","i37603",108,"s38706",2021-06-01
"37804","c00286","i37551",56,"s41830",2021-06-13
"37896","c00851","i37849",272,"s35828",2021-05-21
"37954","c00110","i37959",186,"s36612",2021-05-24
"37989","c00126","i38024",26,"s37141",2021-05-26
"38031","c00052","i37967",102,"s38713",2021-06-01
"38106","c00358","i38324",200,"s35591",2021-05-20
"38222","c00790","i38275",114,"s36915",2021-05-25
"38255","c00912","i38144",420,"s37632",2021-05-28
"38268","c00108","i38236",261,"s37903",2021-05-29
"38288","c00678","i38190",21,"s38448",2021-05-31
"38354","c00209","i38135",272,"s41836",2021-06-13
"38389","c00620","i38544",120,"s35861",2021-05-21
"38412","c00354","i38421",128,"s36126",2021-05-22
"38547","c00603","i38598",112,"s38731",2021-06-01
"38597","c00900","i38435",58,"s41839",2021-06-13
"38612","c00265","i38493",135,"s44314",2021-06-22
"38688","c00015","i38631",69,"s36681",2021-05-24
"38708","c00721","i38695",342,"s36948",2021-05-25
"38762","c00390","i38643",96,"s37666",2021-05-28
"38813","c00962","i38673",156,"s38987",2021-06-02
"38855","c00439","i38894",108,"s40541",2021-06-08
"38886","c00027","i38897",248,"s42396",2021-06-15
"38906","c00986","i38781",21,"s49071",2021-07-09
"38927","c00234","i39136",144,"s36424",2021-05-23
"38949","c00362","i38920",66,"s36703",2021-05-24
"38950","c00267","i39027",152,"s36704",2021-05-24
"38987","c00611","i39018",152,"s37209",2021-05-26
"39004","c00444","i39007",136,"s37445",2021-05-27
"39139","c00041","i38965",230,"s44898",2021-06-24
"39252","c00701","i39345",132,"s37698",2021-05-28
"39326","c00457","i39231",120,"s39006",2021-06-02
"39402","c00509","i39278",90,"s41580",2021-06-12
"39411","c00352","i39313",120,"s42697",2021-06-16
"39413","c00997","i39352",850,"s43260",2021-06-18
"39506","c00219","i39515",774,"s37720",2021-05-28
"39507","c00108","i39620",62,"s37721",2021-05-28
"39571","c00050","i39538",0,"s38769",2021-06-01
"39583","c00400","i39487",192,"s39018",2021-06-02
"39657","c00486","i39637",465,"s41586",2021-06-12
"39686","c00219","i39605",435,"s44322",2021-06-22
"39744","c00788","i39713",120,"s37515",2021-05-27
"39864","c00890","i39866",76,"s39029",2021-06-02
"40011","c00153","i40007",272,"s37770",2021-05-28
"40076","c00713","i40184",432,"s38538",2021-05-31
"40093","c00289","i40084",384,"s38804",2021-06-01
"40094","c00055","i40085",162,"s38805",2021-06-01
"40137","c00037","i40080",40,"s39565",2021-06-04
"40167","c00404","i40134",72,"s40309",2021-06-07
"40202","c00004","i40174",144,"s41865",2021-06-13
"40205","c00522","i40100",36,"s42116",2021-06-14
"40218","c00598","i40074",108,"s42979",2021-06-17
"40239","c00021","i40246",360,"s46000",2021-06-28
"40330","c00097","i40283",96,"s38567",2021-05-31
"40364","c00430","i40272",180,"s39062",2021-06-02
"40379","c00734","i40264",38,"s39337",2021-06-03
"40380","c00666","i40319",36,"s39338",2021-06-03
"40405","c01000","i40440",156,"s39815",2021-06-05
"40536","c00904","i40568",66,"s38340",2021-05-30
"40537","c00049","i40528",100,"s38341",2021-05-30
"40609","c00467","i40600",544,"s39354",2021-06-03
"40619","c00223","i40585",76,"s39588",2021-06-04
"40635","c00890","i40569",124,"s39831",2021-06-05
"40711","c00777","i40586",0,"s42425",2021-06-15
"40718","c00239","i40696",0,"s42985",2021-06-17
"40723","c00522","i40553",0,"s43557",2021-06-19
"40759","c00513","i40850",112,"s38350",2021-05-30
"40782","c00463","i40765",78,"s38613",2021-05-31
"40798","c00536","i40841",208,"s38856",2021-06-01
"40833","c00698","i41002",288,"s39368",2021-06-03
"40933","c00448","i40897",186,"s41327",2021-06-11
"40955","c00997","i40950",0,"s42139",2021-06-14
"40986","c00077","i40791",76,"s44334",2021-06-22
"41047","c00193","i41189",360,"s38873",2021-06-01
"41049","c00669","i41251",204,"s38875",2021-06-01
"41050","c00292","i41253",114,"s38876",2021-06-01
"41114","c00812","i41023",0,"s39863",2021-06-05
"41134","c00364","i41208",84,"s40123",2021-06-06
"41161","c00047","i41173",0,"s40612",2021-06-08
"41252","c00681","i41168",84,"s43813",2021-06-20
"41253","c00102","i41101",444,"s43814",2021-06-20
"41328","c00317","i41515",129,"s39145",2021-06-02
"41364","c00300","i41470",76,"s39644",2021-06-04
"41384","c00374","i41496",0,"s39883",2021-06-05
"41402","c00636","i41461",84,"s40141",2021-06-06
"41415","c00374","i41490",104,"s40365",2021-06-07
"41527","c00047","i41358",0,"s43002",2021-06-17
"41543","c00435","i41562",60,"s44641",2021-06-23
"41609","c00400","i41718",70,"s39426",2021-06-03
"41610","c00806","i41666",93,"s39427",2021-06-03
"41627","c00827","i41827",0,"s39661",2021-06-04
"41628","c00973","i41647",56,"s39662",2021-06-04
"41629","c00128","i41852",120,"s39663",2021-06-04
"41650","c00939","i41697",234,"s39904",2021-06-05
"41651","c00384","i41711",0,"s39905",2021-06-05
"41689","c00579","i41844",44,"s40385",2021-06-07
"41690","c00039","i41639",104,"s40386",2021-06-07
"41704","c00265","i41641",272,"s40636",2021-06-08
"41718","c00619","i41637",310,"s40868",2021-06-09
"41769","c00611","i41803",256,"s41907",2021-06-13
"41770","c00969","i41817",296,"s41908",2021-06-13
"41781","c00826","i41733",270,"s42172",2021-06-14
"41787","c00889","i41765",26,"s42459",2021-06-15
"41796","c00640","i41775",333,"s42737",2021-06-16
"41867","c00953","i41986",138,"s39441",2021-06-03
"41927","c00559","i42087",112,"s40177",2021-06-06
"41966","c00173","i42116",56,"s40655",2021-06-08
"42027","c00208","i41984",690,"s41661",2021-06-12
"42037","c00263","i41917",270,"s41918",2021-06-13
"42071","c00966","i42078",150,"s43568",2021-06-19
"42094","c00938","i42084",288,"s45184",2021-06-25
"42103","c00174","i41931",108,"s46288",2021-06-29
"42131","c00377","i42369",0,"s39697",2021-06-04
"42163","c00049","i42348",168,"s39958",2021-06-05
"42164","c00523","i42300",336,"s39959",2021-06-05
"42329","c00623","i42293",112,"s43309",2021-06-18
"42336","c00885","i42284",144,"s43575",2021-06-19
"42531","c00808","i42426",69,"s41682",2021-06-12
"42567","c00416","i42404",129,"s42488",2021-06-15
"42568","c00785","i42602",54,"s42489",2021-06-15
"42580","c00065","i42587",480,"s42768",2021-06-16
"42599","c00846","i42600",272,"s43319",2021-06-18
"42616","c00947","i42595",60,"s44079",2021-06-21
"42637","c00778","i42534",216,"s45499",2021-06-26
"42676","c00181","i42731",0,"s40221",2021-06-06
"42695","c00925","i42753",222,"s40475",2021-06-07
"42742","c00887","i42750",348,"s40940",2021-06-09
"42782","c00934","i42931",216,"s41693",2021-06-12
"42783","c00201","i42871",138,"s41694",2021-06-12
"42784","c00151","i42860",48,"s41695",2021-06-12
"42876","c00229","i42807",0,"s44377",2021-06-22
"42973","c00773","i43208",84,"s40732",2021-06-08
"42974","c00942","i42995",99,"s40733",2021-06-08
"43037","c00209","i42959",186,"s41446",2021-06-11
"43104","c00427","i43090",84,"s42795",2021-06-16
"43114","c00471","i43118",480,"s43046",2021-06-17
"43126","c00022","i43181",60,"s43337",2021-06-18
"43144","c00998","i43154",680,"s43843",2021-06-20
"43200","c00644","i43088",114,"s48797",2021-07-08
"43240","c00647","i43323",99,"s40979",2021-06-09
"43288","c00516","i43374",234,"s41469",2021-06-11
"43359","c00499","i43390",56,"s42523",2021-06-15
"43360","c00227","i43261",129,"s42524",2021-06-15
"43376","c00876","i43404",258,"s42811",2021-06-16
"43424","c00263","i43455",360,"s43855",2021-06-20
"43454","c00250","i43320",0,"s45510",2021-06-26
"43585","c00855","i43571",76,"s41749",2021-06-12
"43621","c00929","i43605",435,"s42274",2021-06-14
"43664","c00225","i43597",0,"s43075",2021-06-17
"43718","c00565","i43596",192,"s45221",2021-06-25
"43725","c00244","i43679",306,"s45517",2021-06-26
"43726","c00559","i43516",96,"s45518",2021-06-26
"43789","c00511","i43749",0,"s60021",2021-08-18
"43870","c00500","i43899",58,"s42017",2021-06-13
"43937","c00005","i43898",216,"s43090",2021-06-17
"43960","c00031","i43915",156,"s43875",2021-06-20
"43969","c00119","i43855",372,"s44112",2021-06-21
"44053","c00802","i43921",33,"s47408",2021-07-03
"44190","c00578","i44070",0,"s43100",2021-06-17
"44216","c00911","i44282",210,"s43632",2021-06-19
"44236","c00445","i44137",62,"s44415",2021-06-22
"44253","c00384","i44148",243,"s44964",2021-06-24
"44321","c00607","i44091",0,"s62481",2021-08-27
"44377","c00233","i44415",180,"s42328",2021-06-14
"44418","c00454","i44400",200,"s42870",2021-06-16
"44492","c00211","i44375",0,"s43893",2021-06-20
"44554","c00111","i44405",396,"s46048",2021-06-28
"44579","c00223","i44346",50,"s47953",2021-07-05
"44583","c00059","i44329",360,"s49086",2021-07-09
"44592","c00394","i44498",128,"s51561",2021-07-18
"44643","c00419","i44853",58,"s42357",2021-06-14
"44687","c00983","i44670",96,"s42891",2021-06-16
"44734","c00358","i44783",264,"s43424",2021-06-18
"44735","c00134","i44742",198,"s43425",2021-06-18
"44760","c00737","i44629",246,"s43912",2021-06-20
"44820","c00289","i44760",210,"s45251",2021-06-25
"44846","c00833","i44710",25,"s46321",2021-06-29
"44943","c00691","i45072",256,"s42907",2021-06-16
"44977","c00420","i44946",93,"s43434",2021-06-18
"44978","c00867","i45014",105,"s43435",2021-06-18
"45064","c00362","i44913",0,"s45000",2021-06-24
"45075","c00248","i45155",0,"s45262",2021-06-25
"45083","c00237","i45003",112,"s45552",2021-06-26
"45129","c00848","i44987",405,"s47960",2021-07-05
"45136","c00810","i45037",58,"s48534",2021-07-07
"45137","c00238","i45030",49,"s48535",2021-07-07
"45145","c00383","i45035",104,"s49865",2021-07-12
"45156","c00323","i45001",252,"s52382",2021-07-21
"45237","c00571","i45357",68,"s43194",2021-06-17
"45296","c00169","i45291",116,"s43945",2021-06-20
"45421","c00641","i45210",222,"s51834",2021-07-19
"45447","c00811","i45437",84,"s42952",2021-06-16
"45467","c00540","i45667",186,"s43213",2021-06-17
"45493","c00031","i45626",56,"s43484",2021-06-18
"45494","c00364","i45500",174,"s43485",2021-06-18
"45518","c00763","i45452",348,"s43719",2021-06-19
"45519","c00102","i45670",32,"s43720",2021-06-19
"45547","c00927","i45459",228,"s44184",2021-06-21
"45581","c00650","i45534",72,"s44745",2021-06-23
"45582","c00354","i45675",125,"s44746",2021-06-23
"45609","c00490","i45543",256,"s45565",2021-06-26
"45634","c00368","i45653",324,"s46604",2021-06-30
"45738","c00097","i45793",384,"s43514",2021-06-18
"45739","c00196","i45809",0,"s43515",2021-06-18
"45789","c00128","i45728",162,"s44201",2021-06-21
"45790","c00361","i45730",90,"s44202",2021-06-21
"45846","c00178","i45808",62,"s45294",2021-06-25
"45868","c00346","i45737",340,"s46336",2021-06-29
"45874","c00422","i45771",432,"s46610",2021-06-30
"45881","c00697","i45800",70,"s47181",2021-07-02
"45958","c00455","i45958",176,"s43761",2021-06-19
"45959","c00898","i46068",124,"s43762",2021-06-19
"45977","c00072","i45934",280,"s43986",2021-06-20
"45994","c00695","i46081",140,"s44218",2021-06-21
"45995","c00189","i45965",0,"s44219",2021-06-21
"46014","c00438","i46101",333,"s44523",2021-06-22
"46050","c00334","i46177",150,"s45043",2021-06-24
"46070","c00454","i46080",20,"s45314",2021-06-25
"46071","c00500","i46182",246,"s45315",2021-06-25
"46072","c00547","i46129",104,"s45316",2021-06-25
"46109","c00403","i46005",81,"s46097",2021-06-28
"46121","c00098","i46083",136,"s46348",2021-06-29
"46122","c00047","i45987",162,"s46349",2021-06-29
"46139","c00501","i46113",70,"s47189",2021-07-02
"46188","c00470","i45954",116,"s55681",2021-08-02
"46230","c00929","i46286",369,"s44013",2021-06-20
"46257","c00958","i46201",360,"s44246",2021-06-21
"46327","c00593","i46231",240,"s45338",2021-06-25
"46410","c00826","i46225",232,"s47980",2021-07-05
"46437","c00169","i46437",28,"s51277",2021-07-17
"46438","c00704","i46263",180,"s51278",2021-07-17
"46439","c00084","i46265",192,"s51566",2021-07-18
"46460","c00929","i46677",148,"s44023",2021-06-20
"46491","c00199","i46636",0,"s44277",2021-06-21
"46509","c00454","i46490",208,"s44560",2021-06-22
"46511","c00162","i46703",144,"s44562",2021-06-22
"46512","c00098","i46696",104,"s44563",2021-06-22
"46539","c00619","i46688",104,"s44821",2021-06-23
"46576","c00024","i46618",156,"s45360",2021-06-25
"46624","c00713","i46729",87,"s46369",2021-06-29
"46650","c00784","i46690",234,"s46946",2021-07-01
"46722","c00854","i46710",25,"s52119",2021-07-20
"46731","c00552","i46714",336,"s53482",2021-07-25
"46784","c00806","i46819",84,"s44587",2021-06-22
"46808","c00927","i46764",0,"s44845",2021-06-23
"46827","c00844","i46947",168,"s45091",2021-06-24
"46846","c00345","i46769",72,"s45379",2021-06-25
"46878","c00358","i46761",492,"s45863",2021-06-27
"46890","c00947","i46803",384,"s46131",2021-06-28
"46942","c00178","i46927",210,"s47712",2021-07-04
"46974","c00907","i46788",0,"s49111",2021-07-09
"47008","c00866","i46958",88,"s52646",2021-07-22
"47029","c00872","i47212",90,"s44597",2021-06-22
"47082","c00502","i47238",105,"s45114",2021-06-24
"47107","c00497","i47039",210,"s45404",2021-06-25
"47108","c00296","i47045",48,"s45405",2021-06-25
